# Practice: question | correct answer | distractor | distractor | explanation
A family sees that their usual path is flooded after heavy rain. What should they do?|choose a safe different route|use the path because it was dry yesterday|assume the water is shallow|Recent weather can change a familiar place. Yesterday's conditions are not enough.
A class sees more flowers over several spring weeks. Does that mean every plant flowers in spring?|No, plants can have different seasonal patterns.|Yes, all plants flower together.|Yes, every plant flowers every day.|The observation concerns these plants. Other plants can respond differently.
Use the outdoor lunch cards. Which plan responds to the afternoon change?|move lunch under the covered area|leave the uncovered tables ready|remove the covered area|Rain is expected in the afternoon, so cover helps keep the lunch area dry.
# Test
The sky becomes dark after sunset. Which change is happening?|day to night|summer to winter|dry season to wet season|Sunset is part of a daily light-to-dark change.
A class hears rain on the roof. Which outdoor area is likely to get wet?|the uncovered court|inside the closed classroom|under a sound roof|Rain reaches the uncovered court.
A strong wind starts blowing loose paper away. What would help?|move the activity indoors|spread out more loose paper|leave the paper unattended|Moving indoors protects the activity from the wind.
The garden photos show fewer leaves on the same tree after several autumn weeks. What changed?|the tree lost leaves|the tree grew more leaves|the tree stayed unchanged|Comparing the photos shows fewer leaves later.
Read the two weather cards. How did the air change?|it became cooler|it became warmer|it stayed equally warm|The first card says warm; the second says cool.
Read the shade cards. Where should the children sit for shade at lunchtime?|Bench A|Bench B|either bench|The lunchtime card shows shade over Bench A only.
A town often has dry summers. Why might its garden need watering checks then?|there may be less rain|plants stop needing water|dry weather supplies extra water|When less rain falls, it is useful to check whether plants have enough water.
Warm weather is common in this town's summer. Today is unusually cold. Can both statements be true?|Yes, days can differ from the usual seasonal pattern.|No, every summer day must be hot.|No, one cold day makes it winter.|Seasonal patterns describe what is common, not every single day.
The weekly record shows rain on Thursday. Which plan fits that day's weather?|use the covered reading space|put uncovered cushions on the wet grass|leave paper outside in the rain|A covered space protects the reading materials from rain.
In the morning a puddle is large. Later it is much smaller. What has changed?|the amount of water in the puddle|the name of the season for certain|the length of the whole year|The observations directly show less water in the puddle.
In one place, evenings stay light later in summer. How might this affect a family walk?|it may still be light at their usual walking time|there will never be darkness|the weather will always be dry|Longer daylight can change when it is light enough for an activity. It does not guarantee dry weather.
A wet season brings weeks of frequent rain. Which everyday choice fits?|have rain protection ready|expect every path to remain dry|store raincoats out of reach|Frequent rain makes rain protection useful.
The same tree's shadow falls in different places in morning and afternoon. What should you check for a picnic?|where the shade is at picnic time|only where it was yesterday morning|only the tree's height|The shade's location changes during the day, so check it at the relevant time.
A plant grows new shoots over several spring weeks. Is this evidence of a change within one afternoon?|No, the record covers several weeks.|Yes, all growth takes one afternoon.|Yes, spring lasts one afternoon.|The dates show a longer change across weeks.
The sports ground is muddy after overnight rain. Why might the game move to a suitable indoor space?|the rain changed the ground's condition|the season name changed overnight|all outdoor games need darkness|Weather can change whether a place is suitable for an activity.
Morning fog clears before lunch. Which description matches both observations?|foggy first, clearer later|clear first, foggy later|foggy the whole time|The description must preserve the observed order of the changes.
