codes,video_url,title,creator,min_year,max_year,focus,watch_prompt,after_watching,source_url,review_note
AC9SFU02,https://www.youtube.com/watch?v=JvSClZ3vHOI,"Swings, Slides, and Science | Physics for Kids",SciShow Kids,0,0,Noticing different movements in a familiar playground.,How is moving on a swing different from moving down a slide?,"Describe a toy rolling and a block sliding. With an adult, compare the same toy moving on a smooth surface and a towel.",https://www.youtube.com/watch?v=JvSClZ3vHOI,"Original SciShow Kids result describes swings and slides as everyday science. Used for movement observations, not formal force laws. Full playback and explanation depth need final review."
AC9SFU03,https://www.youtube.com/watch?v=tDVS9XSqt90,Texture,Scratch Garden,0,0,Describing how the surface of a material feels. Use the lesson to identify what objects are made from.,Which words describe a surface you might touch?,"With an adult, compare safe pieces of cloth, paper and wood. Name each material and describe its surface.",https://scratchgarden.com/videos/texture/,"Official creator page, iframe and lyrics checked. Supports observable texture, one part of the materials outcome. The follow-up avoids tasting or touching unsafe objects."
AC9SFH01,https://www.youtube.com/watch?v=uGCexyr4IYw,Let's Be Scientists!,Planet Nutshell,0,0,Using a question and an observation to learn about something.,What could you look at carefully to help answer a question?,Choose a familiar toy and ask one question about how it moves. Tell an adult what you could observe.,https://planetnutshell.com/portfolio/lets-be-scientists/,Official creator description confirms an early-childhood KET video about testing predictions and drawing conclusions. Root confirmed the original Planet Nutshell YouTube upload. Playback is not fully reviewed.
AC9SFI01,https://www.youtube.com/watch?v=uGCexyr4IYw,Let's Be Scientists!,Planet Nutshell,0,0,Making a prediction before checking what happens.,"What do you think will happen, and why?","Before rolling a toy car gently, predict where it will stop. Tell an adult what experience helped you predict.",https://planetnutshell.com/portfolio/lets-be-scientists/,Official creator description confirms an early-childhood KET video about testing predictions and drawing conclusions. Root confirmed the original Planet Nutshell YouTube upload. Playback is not fully reviewed.
AC9SFI02,https://www.youtube.com/watch?v=zfnwd1wr-K4,Using Our Senses to Explore the Beach! | SciShow Kids,SciShow Kids,0,0,Using your senses to notice things about a place.,What can you learn by looking and listening?,"With an adult, observe a safe outdoor spot. Draw something you see and describe something you hear; leave unknown objects alone.",https://www.youtube.com/watch?v=zfnwd1wr-K4,Original SciShow Kids title and public description checked. Senses and observation fit Foundation. Follow-up is adult-supported and does not ask children to taste unknown materials. Full playback needs review.
AC9SFI03,https://www.youtube.com/watch?v=Zg5AAxgf9qg,Sort the Same Group Two Different Ways | Preschool and Kindergarten | Kids Academy,Kids Academy,0,0,Looking for shared features and sorting observations into groups. The follow-up records your own observations with pictures.,Which visible feature could help you sort the objects?,"Draw two labelled boxes with an adult. Draw or place leaf pictures in the boxes using one feature, then describe what you notice.",https://www.youtube.com/watch?v=Zg5AAxgf9qg,Root verified original Kids Academy identity and embeddable player with YouTube oEmbed. Public description supports sorting visible features. No leaf-specific scene is claimed; full playback is pending.
AC9SFI04,https://www.youtube.com/watch?v=uGCexyr4IYw,Let's Be Scientists!,Planet Nutshell,0,0,Comparing what you expected with what you observed.,Did the result match the prediction?,"After a simple toy-car test, finish these spoken ideas with an adult: I thought... I saw... They were the same or different because...",https://planetnutshell.com/portfolio/lets-be-scientists/,Official creator description confirms an early-childhood KET video about testing predictions and drawing conclusions. Root confirmed the original Planet Nutshell YouTube upload. Playback is not fully reviewed.
AC9SFI05,https://www.youtube.com/watch?v=uGCexyr4IYw,Let's Be Scientists!,Planet Nutshell,0,0,Using a prediction and observation to explain a result.,What would you tell a friend about what happened?,"Show an adult a drawing of a simple observation. Say your question, what you expected and what you noticed.",https://planetnutshell.com/portfolio/lets-be-scientists/,Official creator description confirms an early-childhood KET video about testing predictions and drawing conclusions. Root confirmed the original Planet Nutshell YouTube upload. Playback is not fully reviewed.
AC9EFLA01,https://www.youtube.com/watch?v=YVahJKMk2VY,Courtesy,Scratch Garden,0,0,Choosing courteous words for requests and replies.,Which words help someone ask politely?,Role-play asking a friend and then a teacher for a pencil. Discuss what words you used and why.,https://scratchgarden.com/videos/courtesy/,"Official creator page, iframe and lyrics checked. Examples support exploring language choices; no claim that every family or culture uses identical manners."
AC9EFLA02,https://www.youtube.com/watch?v=frN3nvhIHUk,Do You Like Broccoli Ice Cream?,Super Simple Songs,0,0,Asking about likes and dislikes and answering for yourself.,Can two people like different foods?,Tell a partner one food you like and one you do not like. Ask about their choices and listen to the answer.,https://supersimple.com/song/do-you-like-broccoli-ice-cream/,"Official creator page, iframe and lyrics checked. Creator explicitly presents this as a likes-and-dislikes song. Personal preferences may differ; no food judgement is required."
AC9EFLA03,https://www.youtube.com/watch?v=gigk0nc4UaU,Parts of a Book | Print Awareness,Khan Academy Kids,0,0,Exploring a book as one kind of text. The lesson also introduces signs and digital texts.,How can you tell that this is a book?,"Find a book, a sign and a digital message with an adult. Explain one thing each helps a reader do.",https://blog.khanacademy.org/khan-kids-the-science-of-reading-in-a-nutshell/,"Official Khan Kids article embeds this exact ID and recommends it for pre-literacy. This is the book example, not complete coverage of text forms."
AC9EFLA04,https://www.youtube.com/watch?v=gigk0nc4UaU,Parts of a Book | Print Awareness,Khan Academy Kids,0,0,"Finding the cover, title and other familiar parts of a book.",Where would you look for the title?,"Pick up a book. Show its front cover and title, then demonstrate how you turn its pages.",https://blog.khanacademy.org/khan-kids-the-science-of-reading-in-a-nutshell/,Official Khan Kids article embeds this exact ID for pre-literacy print awareness. Digital navigation conventions remain in the topic lesson.
AC9EFLA05,https://www.youtube.com/watch?v=BXau_VgbbZI,Parts of a Sentence | Pre-K and Kindergarten Version,Jack Hartmann Kids Music Channel,0,0,Recognising a sentence as words that tell a complete idea.,Does a sentence help you tell a whole idea?,Say one complete idea about a pet or toy. Ask an adult to write it and read it back to you.,https://www.youtube.com/watch?v=BXau_VgbbZI,Original creator result describes the Pre-K/Kindergarten sentence song; its current search title also says Parts of Speech Song for Kids. It uses period; explain that Australians usually say full stop. Playback needs review.
AC9EFLA06,https://www.youtube.com/watch?v=BXau_VgbbZI,Parts of a Sentence | Pre-K and Kindergarten Version,Jack Hartmann Kids Music Channel,0,0,Noticing that words work together to make a sentence with meaning.,What helps the words make sense together?,"Ask an adult to write The cat sits. on three word cards. Put them in order, read the sentence and say what it means.",https://www.youtube.com/watch?v=BXau_VgbbZI,Original creator description identifies complete ideas and sentence words/spaces. Foundation task stays with meaningful word order; no formal subject-predicate terminology is required. Video uses period for full stop.
AC9EFLA07,https://www.youtube.com/watch?v=24bGmyLH3Qw,How Illustrations Show Mood | Reading Comprehension,Khan Academy Kids,0,0,Noticing how a picture helps us understand feelings in a story.,What detail in the picture gives you a clue about a feeling?,Draw a character feeling excited. Tell a partner which detail in your picture shows the feeling.,https://www.youtube.com/watch?v=24bGmyLH3Qw,Official Khan Academy Kids result and specific illustration/mood title checked. Supports reading picture clues in stories; informative-text images remain in the lesson. Playback needs review.
AC9EFLA08,https://www.youtube.com/watch?v=uos7eDRUokE,Feelings,Scratch Garden,0,0,Learning words that help you describe familiar feelings.,Which feeling word is new to you?,Choose two feeling words and describe a familiar time you might feel each one. You may invent a pretend example.,https://scratchgarden.com/videos/feelings/,"Official creator page, embedded YouTube ID and description checked; lyrics checked when supplied. Full audiovisual playback needs final review."
AC9EFLA09,https://www.youtube.com/watch?v=gghvLTSS-eQ,The Sentence Song — capital letters and full stops,Scratch Garden,0,0,Noticing capital letters at sentence beginnings and punctuation at the end.,Which mark ends a statement and which mark ends a question?,Ask an adult to write your name and one sentence. Find the capital letters and circle the end mark.,https://scratchgarden.com/videos/sentences/,Official creator page explicitly offers this capital-letter/full-stop variant. Lyrics and actual iframe ID checked. Names are practised in the follow-up; video primarily teaches sentence boundaries.
AC9EFLE01,https://www.youtube.com/watch?v=IKjN1y30btI,Abuela Chela Quits | Story Time with Khan Academy Kids,Khan Academy Kids,0,0,Listening to a family story and connecting an event with your own experience.,What feels familiar or different about this family story?,Tell an adult about a time people helped with a shared job. Compare it with one event in the story.,https://blog.khanacademy.org/khan-kids-free-books-for-kids/,Official Khan Kids publisher article directly links this English read-aloud. Shared listening with an adult fits Foundation; independent reading is not expected. This world-literature example does not replace First Nations Australian and Australian texts.
AC9EFLE02,https://www.youtube.com/watch?v=2iXpmnaT4HY,How to Learn about Characters | Reading Comprehension,Khan Academy Kids,0,0,Using a character clue to talk about feelings and actions.,What does the character do that helps you understand them?,Choose a character from a story you know. Tell an adult how you feel about one thing the character did.,https://blog.khanacademy.org/khan-kids-the-science-of-reading-in-a-nutshell/,Official Khan Kids article embeds this character-comprehension lesson. Keep discussion concrete and adult-supported; avoid formal inference terminology. Playback needs review.
AC9EFLE03,https://www.youtube.com/watch?v=pZw9veQ76fo,Five Little Ducks,Super Simple Songs,0,0,Noticing the characters and the beginning and ending of a familiar rhyme.,"Who is in the rhyme, and what changes by the end?",Draw the beginning and ending in two boxes. Explain why this is a rhyme or song rather than an information book.,https://supersimple.com/song/five-little-ducks/,"Official creator page and lyrics checked; original upload is pZw9veQ76fo. Used as a literary example, not a claim to cover every literary type."
AC9EFLE04,https://www.youtube.com/watch?v=pZw9veQ76fo,Five Little Ducks,Super Simple Songs,0,0,Joining in a repeated rhythm and listening for rhyming sounds.,Which words sound alike at the ends of lines?,Tap a gentle beat while joining in one familiar part. Try the rhythm with your own made-up animal sounds.,https://supersimple.com/song/five-little-ducks/,Official creator song and lyrics checked. Prompts are original; no lyrics are copied into SkillrHub.
AC9EFLE05,https://www.youtube.com/watch?v=fqeMhwiL6Go,Let's Tell a Story,Planet Nutshell,0,0,Using imagination to tell and change a story.,What could you change to make the story your own?,Use toys to retell a familiar story. Change one character or place and explain your new version.,https://planetnutshell.com/portfolio/lets-tell-a-story/,Creator confirms a KET early-childhood video about storytelling and creativity; original YouTube result matches. Full playback needs review.
AC9EFLY01,https://www.youtube.com/watch?v=SV5qoOWONm8,Fiction v. Nonfiction | Reading Comprehension,Khan Academy Kids,0,0,Noticing that some books tell imagined stories while others give information.,Is this book helping us imagine a story or learn information?,Choose a storybook and an information book with an adult. Say what each is for.,https://www.youtube.com/watch?v=SV5qoOWONm8,Official Khan Academy Kids title and original result checked. Explain fiction and nonfiction in everyday words and avoid assuming every picture book is fiction. Playback needs review.
AC9EFLY02,https://www.youtube.com/watch?v=Z155TgEs8yA,Listening and Following Directions | It's Easy With Twinkl,Twinkl Teaching Resources - United States,0,0,Listening carefully and following a spoken instruction.,What do you need to hear before you start the action?,Take turns giving a partner one simple instruction. Listen until they finish and use a voice they can hear comfortably.,https://www.youtube.com/watch?v=Z155TgEs8yA,Official Twinkl USA channel lists the original lesson. Public description includes whole-body listening; the Skillr task allows comfortable posture and does not require eye contact or sitting still. Playback needs review.
AC9EFLY03,https://www.youtube.com/watch?v=SV5qoOWONm8,Fiction v. Nonfiction | Reading Comprehension,Khan Academy Kids,0,0,Comparing an imagined story with a text that gives information.,What clue helps you decide whether the text is imaginative or informative?,"With an adult, compare two books about the same animal: one story and one information book. Explain one difference.",https://www.youtube.com/watch?v=SV5qoOWONm8,Official creator result checked. Use everyday imaginative/informative language; pictures can appear in both kinds of text. Playback needs review.
AC9EFLY04,https://www.youtube.com/watch?v=oDVAhDyHZaA,CVC Words | Letter a | Phonics Song,Jack Hartmann Kids Music Channel,0,0,Blending sounds in simple short-a words before reading them in a sentence.,Can you blend the three sounds into one word?,"Read an adult-written sentence such as The cat sat. Blend any unfamiliar CVC word, then explain what the sentence means.",https://www.youtube.com/watch?v=oDVAhDyHZaA,Original creator title and description confirm short-a CVC practice for emerging readers. Follow-up adds meaning checking; this video is not a complete reading programme. Playback needs review.
AC9EFLY05,https://www.youtube.com/watch?v=mT9mYdCjP48,"What, Why, How | Reading Comprehension",Khan Academy Kids,0,0,Asking questions to understand details in a text.,What question helps you understand what happened?,"After hearing a short story, ask an adult one what, why or how question. Discuss a clue that helps answer it.",https://www.youtube.com/watch?v=mT9mYdCjP48,"Official Khan Academy Kids result describes key-detail comprehension. Questioning supplement; visualising, connecting and summarising remain in the topic lesson. Playback needs review."
AC9EFLY06,https://www.youtube.com/watch?v=gghvLTSS-eQ,The Sentence Song — capital letters and full stops,Scratch Garden,0,0,Checking the beginning and end of a short written sentence.,What should you check at the start and end of a sentence?,"Write or dictate one sentence about today. With an adult, check its capital letter, spaces and end mark. Sound out any CVC words.",https://scratchgarden.com/videos/sentences/,Official creator full-stop variant and lyrics checked. This supplements sentence-boundary editing; vocabulary and spelling teaching remain in the lesson.
AC9EFLY07,https://www.youtube.com/watch?v=vXWK1-L41f0,The Five W's Song,Scratch Garden,0,0,"Thinking about who, what, where and when before telling someone about an event.",Which question helps you say where something happened?,"Tell a partner about one familiar event using who, what and where. Speak at a comfortable volume and ask whether they could hear.",https://scratchgarden.com/videos/five-ws/,"Official original YouTube result identifies five question words; creator page is in its sitemap. Supports planning spoken content, while the follow-up practises voice and delivery. Playback needs review."
AC9EFLY08,https://www.youtube.com/watch?v=Yj1TwQywaIE,I'm so Excited to Read and Write | A - Z | Letter Formation,Jack Hartmann Kids Music Channel,0,0,"Watching how letters are formed, then practising a few carefully.",Where does the letter you are practising begin?,"Choose one letter with an adult. Trace it in the air, then write its upper-case and lower-case forms using your school model.",https://www.youtube.com/watch?v=Yj1TwQywaIE,Original title and Jack Hartmann creator confirmed by public oEmbed. Letter formation can differ between Australian school handwriting styles; use the local class model for final practice. No full playback claim.
AC9EFLY09,https://www.youtube.com/watch?v=4PW3_LErVZk,Rhyming Words,Scratch Garden,0,0,Hearing words that have the same ending sound.,Can you hear two words that rhyme?,"Say cat, then invent or find two words with the same ending sound. Explain whether dog belongs in that group.",https://scratchgarden.com/videos/rhyming-words/,"Official creator page, embedded YouTube ID and description checked; lyrics checked when supplied. Full audiovisual playback needs final review."
AC9EFLY09,https://www.youtube.com/watch?v=9S7DY2lgJlU,Syllables,Scratch Garden,0,0,Hearing and clapping the beats in spoken words.,How many beats can you hear in your name?,Clap the syllables in three familiar names. Sort them by the number of beats you hear.,https://scratchgarden.com/videos/syllables/,"Official creator page, embedded YouTube ID and description checked; lyrics checked when supplied. Full audiovisual playback needs final review."
AC9EFLY10,https://www.youtube.com/watch?v=4bm0v0LBOzQ,Phonemes | Beginning Sounds and Phonics,Khan Academy Kids,0,0,Listening for the first sound in a spoken word.,What sound can you hear at the beginning?,"Say sun, sock and leaf. Group the words that begin with the same sound, then choose your own example.",https://blog.khanacademy.org/khan-kids-the-science-of-reading-in-a-nutshell/,Official Khan Kids article embeds this exact beginning-phoneme lesson. Supports sound isolation; blending and segmenting receive a separate CVC example.
AC9EFLY10,https://www.youtube.com/watch?v=oDVAhDyHZaA,CVC Words | Letter a | Phonics Song,Jack Hartmann Kids Music Channel,0,0,Hearing separate sounds and blending them into a short word.,What happens when you say the three sounds smoothly together?,"An adult says the separate sounds in map. Blend the word, then say its sounds one at a time.",https://www.youtube.com/watch?v=oDVAhDyHZaA,Original creator description confirms CVC blending for emerging readers. Supports spoken blending and segmenting; the lesson separately teaches word boundaries in sentences.
AC9EFLY11,https://www.youtube.com/watch?v=2wXG9_IVr5s,Learning the Alphabet,Jack Hartmann Kids Music Channel,0,0,Connecting letter names with common beginning sounds.,Which letter matches the sound at the start of your name?,Choose three letters. Match each upper-case and lower-case pair and say a word beginning with its common sound.,https://www.youtube.com/watch?v=2wXG9_IVr5s,"Original creator result explicitly covers alphabet recognition, letter sounds and beginning-letter examples. Explain the Australian letter name zed if the video says zee. Playback needs review."
AC9EFLY12,https://www.youtube.com/watch?v=oDVAhDyHZaA,CVC Words | Letter a | Phonics Song,Jack Hartmann Kids Music Channel,0,0,Blending and writing simple words with short a.,Which vowel sound can you hear in the middle?,"Blend cat aloud. Say its sounds, write the matching letters and read the word back.",https://www.youtube.com/watch?v=oDVAhDyHZaA,Original Jack Hartmann title and short-vowel CVC description checked. Adult supports accurate short sounds without added uh. Writing task is original; no full audiovisual review claim.
AC9EFLY12,https://www.youtube.com/watch?v=_lM8cVG_xoQ,CVC Words | Letter e | Phonics Song,Jack Hartmann Kids Music Channel,0,0,Blending and writing simple words with short e.,Which vowel sound can you hear in the middle?,"Blend pet aloud. Say its sounds, write the matching letters and read the word back.",https://www.youtube.com/watch?v=_lM8cVG_xoQ,Original Jack Hartmann title and short-vowel CVC description checked. Adult supports accurate short sounds without added uh. Writing task is original; no full audiovisual review claim.
AC9EFLY12,https://www.youtube.com/watch?v=13clYehVJHo,CVC Words | Letter i | Phonics Song,Jack Hartmann Kids Music Channel,0,0,Blending and writing simple words with short i.,Which vowel sound can you hear in the middle?,"Blend sit aloud. Say its sounds, write the matching letters and read the word back.",https://www.youtube.com/watch?v=13clYehVJHo,Original Jack Hartmann title and short-vowel CVC description checked. Adult supports accurate short sounds without added uh. Writing task is original; no full audiovisual review claim.
AC9EFLY12,https://www.youtube.com/watch?v=FLfl_uY83Os,CVC Words | Letter u | Phonics Song,Jack Hartmann Kids Music Channel,0,0,Blending and writing simple words with short u.,Which vowel sound can you hear in the middle?,"Blend sun aloud. Say its sounds, write the matching letters and read the word back.",https://www.youtube.com/watch?v=FLfl_uY83Os,Original Jack Hartmann title and short-vowel CVC description checked. Adult supports accurate short sounds without added uh. Writing task is original; no full audiovisual review claim.
AC9EFLY13,https://www.youtube.com/watch?v=oDVAhDyHZaA,CVC Words | Letter a | Phonics Song,Jack Hartmann Kids Music Channel,0,0,Listening to each sound to help spell a short-a word.,Which vowel sound can you hear in the middle?,"Ask an adult to say cat. Say each sound, write its letter and check the whole word together.",https://www.youtube.com/watch?v=oDVAhDyHZaA,Original Jack Hartmann title and short-vowel CVC description checked. Adult supports accurate short sounds without added uh. Writing task is original; no full audiovisual review claim.
AC9EFLY13,https://www.youtube.com/watch?v=_lM8cVG_xoQ,CVC Words | Letter e | Phonics Song,Jack Hartmann Kids Music Channel,0,0,Listening to each sound to help spell a short-e word.,Which vowel sound can you hear in the middle?,"Ask an adult to say pet. Say each sound, write its letter and check the whole word together.",https://www.youtube.com/watch?v=_lM8cVG_xoQ,Original Jack Hartmann title and short-vowel CVC description checked. Adult supports accurate short sounds without added uh. Writing task is original; no full audiovisual review claim.
AC9EFLY13,https://www.youtube.com/watch?v=13clYehVJHo,CVC Words | Letter i | Phonics Song,Jack Hartmann Kids Music Channel,0,0,Listening to each sound to help spell a short-i word.,Which vowel sound can you hear in the middle?,"Ask an adult to say sit. Say each sound, write its letter and check the whole word together.",https://www.youtube.com/watch?v=13clYehVJHo,Original Jack Hartmann title and short-vowel CVC description checked. Adult supports accurate short sounds without added uh. Writing task is original; no full audiovisual review claim.
AC9EFLY13,https://www.youtube.com/watch?v=FLfl_uY83Os,CVC Words | Letter u | Phonics Song,Jack Hartmann Kids Music Channel,0,0,Listening to each sound to help spell a short-u word.,Which vowel sound can you hear in the middle?,"Ask an adult to say sun. Say each sound, write its letter and check the whole word together.",https://www.youtube.com/watch?v=FLfl_uY83Os,Original Jack Hartmann title and short-vowel CVC description checked. Adult supports accurate short sounds without added uh. Writing task is original; no full audiovisual review claim.
AC9EFLY14,https://www.youtube.com/watch?v=3r4MyipWcUE,The Word Come | Sight Words,Khan Academy Kids,0,0,Recognising a common word and using it in a meaningful sentence.,What does the word come ask someone to do?,"Find come in an adult-written sentence. Write it, read it and use it in your own spoken sentence.",https://blog.khanacademy.org/khan-kids-the-science-of-reading-in-a-nutshell/,"Official Khan Kids article directly links this sight-word come video. A single-word supplement, not whole-list memorisation or a replacement for phonics. Playback needs review."
AC9EFLY15,https://www.youtube.com/watch?v=a6Fyu2w2Pi8,It's fun to make 2 words 1 | Version 1 | Compound Words,Jack Hartmann Kids Music Channel,0,0,Hearing how two meaningful words can join to make one new word.,What two smaller words can you hear inside the new word?,"Say rain and bow, then rainbow. Draw what each smaller word means and what the joined word means.",https://www.youtube.com/watch?v=a6Fyu2w2Pi8,Original creator result identifies Jack Hartmann compound-word version 1. Concrete compound words support meaningful parts; no formal prefix/suffix teaching is introduced. Playback needs review.
AC9M1N01,https://www.youtube.com/watch?v=Ots_roOw4Pg,Counting by Ones,Scratch Garden,1,1,"Practise counting in ones to 100, then continue to 120 in the topic lesson.",Listen to what changes after each number ending in nine.,Start at 96. Say and write the numbers through 120. Use a number chart to check.,https://scratchgarden.com/videos/counting-by-ones/,"Official creator lesson page and embedded YouTube ID checked; description and available lyrics reviewed. Not a complete audiovisual or playback review. The song ends at 100; it does not by itself cover the required 120 or ordering representations. Public YouTube oEmbed returned the expected official creator, title and embed HTML on 2026-09-07; this confirms metadata/embedding response, not playback or future availability."
AC9M1N02,https://www.youtube.com/watch?v=G05AgnEGmgw,Composing and Decomposing Numbers,Scratch Garden,1,1,"See how a number can be split into parts, including a group of ten and some ones.",Find two different ways to make the same total. Does the total change?,"Make 16 counters into ten and six. Rearrange them into eight and eight, then explain why both show 16.",https://scratchgarden.com/videos/composing-decomposing/,"Official creator lesson page and embedded YouTube ID checked; description and available lyrics reviewed. Not a complete audiovisual or playback review. Creator specifies number bonds and five/ten frames to 20; larger two-digit partitioning remains in the topic lesson. Public YouTube oEmbed returned the expected official creator, title and embed HTML on 2026-09-07; this confirms metadata/embedding response, not playback or future availability."
AC9M1N03,https://www.youtube.com/watch?v=GvTcpfSnOMQ,Counting by Twos,Scratch Garden,1,1,Use equal groups of two to practise counting a collection.,Point to the next pair of objects each time you hear another number.,"Arrange 20 counters in pairs. Count by twos, then count singly to check the total.",https://scratchgarden.com/videos/counting-by-twos/,"Official creator lesson page and embedded YouTube ID checked; description and available lyrics reviewed. Not a complete audiovisual or playback review. Song goes to 30. It supports the grouping strategy, not the full collection-size expectation to 120. Public YouTube oEmbed returned the expected official creator, title and embed HTML on 2026-09-07; this confirms metadata/embedding response, not playback or future availability."
