'I like this soup because it warms me up.' Which part gives the reason?|because it warms me up|I like this soup|this soup|The reason explains why the speaker likes the soup.
Which sentence explains a dislike without being unkind to someone who likes the food?|I don't like olives because they taste too salty to me.|Olives are awful, and anyone who likes them is silly.|No one is allowed to like olives.|The first sentence gives a personal reason without judging other people.
'I like this game because it is good.' Which revision gives a clearer reason?|I like it because we solve clues together.|I like it because it is very good.|I like it because I like good games.|Solving clues together names the particular feature being enjoyed.
One child likes running because it is fast. Another likes walking because there is time to look at flowers. What explains their different choices?|They enjoy different parts of being outdoors.|One child has not given a reason.|Both children want to move as fast as possible.|Speed matters to one child; time to look around matters to the other.
A child says, 'I prefer the smaller bag because it has room for more things.' You learn the bigger bag holds more. Which change makes the reason fit choosing the smaller bag?|I prefer it because it is lighter to carry.|I prefer it because it holds the most things.|I prefer it because bigger bags hold less.|A lighter load can support choosing a smaller bag; the original capacity claim did not fit.
'I choose the apple because it is crisp.' 'The apple is in my lunchbox.' Which sentence explains the preference?|The first; it names a liked quality.|The second; location always explains a preference.|Both give the same reason for choosing it.|Being crisp explains the choice; location alone does not state why it is preferred.
You dislike a game because waiting for a turn takes too long. Which change might address your reason?|Give each player a shorter turn.|Make each player's turn longer.|Keep the waiting time the same.|Shorter turns reduce the waiting that caused the dislike.
'I prefer the park because there is space to run.' Which detail would weaken that reason?|The running area is closed today.|The park has a wide open field.|The path leads to the open grass.|A closed running area means the desired feature is unavailable.
Two children prefer the same song. One likes the gentle tune; the other likes the funny words. What can you say?|The same preference can have different reasons.|They must enjoy exactly the same thing about it.|Only one of the children has explained a preference.|Both give reasons, but they value different features.
A child wants a seat away from bright sunlight. Which sentence connects that need to a choice?|I prefer the shaded seat because the light is softer there.|I prefer the sunny seat because the sun shines straight on it.|I prefer any seat because all seats have the same light.|The reason links the shaded position with avoiding strong light.
'I enjoy making models because I can build new things.' Which part tells why?|because I can build new things|I enjoy making models|making models|Building new things is the stated reason for enjoyment.
Which sentence explains why someone dislikes a drink?|I dislike it because it is too sour for me.|I dislike that drink a lot.|That is the drink I don't like.|Too sour names the quality causing the dislike.
'I prefer the back garden because it is peaceful.' What does the reason tell you?|The child likes the calm setting.|The child wants the noisiest place.|The child is explaining the garden's size.|Peaceful describes the calm quality behind the choice.
Finish the sentence with a useful reason: 'I like skipping because ___.'|learning new jumps is fun|skipping is what I like|it is called skipping|Learning new jumps explains the enjoyment rather than repeating the preference.
A child chooses mittens because they keep their fingers warm. What is the reason for the choice?|Warm fingers.|The word mittens.|Having fingers.|The benefit of warmth supports the preference.
Which sentence adds a reason to 'I don't like this chair'?|I don't like it because the hard seat feels uncomfortable.|I don't like it; this chair is here.|I don't like it because I don't like it.|The uncomfortable seat explains the dislike.
'I prefer a short story at bedtime because I am sleepy.' Which reason is given?|The child is tired.|The story has a red cover.|The child wants a very long story.|Being sleepy explains wanting something short.
A child likes bananas because they are easy to peel. Which choice keeps that reason?|I choose a banana because I can open it myself.|I choose a banana because its peel is hard to remove.|I choose a banana because other fruit exists.|Being able to peel it independently matches the stated reason.
'I like my new crayons because they make bright colours.' Which detail best supports this reason?|The red and yellow look strong on the paper.|The crayons stay inside their closed box.|The crayons were bought on Tuesday.|Strong colours on paper support the reason about brightness.
A child says, 'I dislike windy days because my hat blows away.' What could help with that particular problem?|A hat with a secure strap.|A hat that falls off more easily.|Another windy afternoon.|A secure strap addresses the reason for disliking the wind.
'I like swimming because it's nice.' Which question would help the speaker give a more precise reason?|What do you enjoy about being in the water?|How do you spell swimming?|What day comes after Tuesday?|Asking what they enjoy invites a specific reason for the liking.
One child prefers group games to talk with friends. Another prefers a solo puzzle to think quietly. Which explanation fits?|Their reasons show different preferences for company and quiet.|Both want to play alone in silence.|Neither has said why they prefer an activity.|Each preference is supported by a different enjoyable feature.
'I choose this lunchbox because it is easy to open.' Which new information would make the reason no longer fit?|Its catch is now stuck shut.|Its lid opens with one easy press.|The catch moves smoothly.|A stuck catch conflicts with the reason that it is easy to open.
Which reply respectfully explains a different preference when a friend says they love scary stories?|I prefer funny stories because laughing helps me relax.|Funny stories are the only books anyone should like.|Your favourite stories are wrong.|The first reply gives a personal preference and reason without rejecting the friend's choice.
'I prefer the long path because it takes less time.' The short path takes less time. Which reason could support choosing the long path instead?|It goes past flowers I enjoy seeing.|It is shorter than the short path.|Both paths have names.|Enjoying the flowers can justify the longer route without making a false time claim.
Two children choose the green pencil. One likes its colour; the other finds it easy to grip. What is the same and what differs?|Their choice is the same, but their reasons differ.|Their reasons are the same, but their choices differ.|Both chose it only because it was green.|One choice can be supported by different personal reasons.
