'Yesterday we visited the farm. First we fed hens. Then we saw the lambs.' What is this text doing?|Retelling events in order.|Explaining why hens lay eggs.|Giving an opinion about farms.|Yesterday, first and then organise a recount of what happened.
'Clouds covered the sun, so the playground became darker.' What does the text explain?|A cause of the change in light.|The order of games played all day.|Why playgrounds are the best places.|So connects the covering of the sun with its effect.
Which opening suits an information text about hats?|Hats can protect our heads from sun or cold.|Yesterday I lost my hat on the bus.|My hat flew to a talking cloud.|The first opening introduces a factual topic rather than a recount or fantasy.
A recount starts, 'On Saturday we planted beans.' Which sentence follows naturally?|After planting, we watered the soil.|Before Saturday existed, beans were best.|Beans should be everyone's favourite food.|It continues the sequence of the planting event.
A story's mouse cannot reach a high shelf. Which event could resolve this?|The mouse brings a ladder and climbs it.|The mouse describes the colour of the wall.|A report lists kinds of shelves.|Using a ladder addresses the story's problem.
Which sentence belongs under 'Where penguins live' in a report?|Some penguins live on rocky coasts.|Penguins eat fish.|Penguins have feathers.|The heading calls for a fact about location or habitat.
You want to explain why a puddle got bigger during rain. Which plan fits?|Describe rain adding water, then the larger puddle.|Tell readers that puddles are your favourite.|Introduce a puddle character and a treasure hunt.|The first plan connects the cause and result.
An opinion text gives three reasons to plant flowers. Which ending fits its purpose?|These reasons make flowers a good choice for our garden.|Then we caught the bus home from the zoo.|Flowers can be counted with numbers.|The ending draws the reasons back to the proposed choice.
A recount says, 'First we ate the cake. Then we baked it.' What needs checking?|Whether the events are in the correct order.|Whether cake is an interesting topic.|Whether the text needs an animal heading.|The time order conflicts with the usual sequence of baking and eating that cake.
A report is about what turtles eat. Which added sentence stays with the topic?|Some turtles eat plants and small animals.|Yesterday my toy turtle fell off my bed.|I wish all turtles could sing.|The first sentence adds relevant factual information.
A writer has a story ending: 'At last the lost puppy found its owner.' Which earlier event connects to it?|The puppy wandered away from its owner.|The puppy learnt the names of shapes.|Puppies have four legs.|Wandering away sets up the problem solved by finding the owner.
Text A lists facts about rain. Text B tells what a child did on one rainy afternoon. How should they be organised differently?|A groups facts; B follows the afternoon's events.|A needs a made-up hero; B needs only headings.|Both must list facts in alphabetical order.|An information text groups facts, while a recount follows events through time.
A writer adds 'because it saves water' after 'We should turn off dripping taps.' What does the addition do?|Gives a reason supporting the opinion.|Introduces the setting of a fantasy story.|Tells the final event of a trip.|The saving of water explains why the proposed action is worthwhile.
