Look at the two book images. Which one helps a reader name parts of a plant?|Image B, with labels pointing to parts.|Image A, with a smiling flower character.|Both show labels pointing to roots.|Labels connect names to visible parts in the information image.
Look at the two butterfly images. How do they help readers differently?|A introduces a story character; B identifies a body feature.|A gives wing labels; B shows a talking butterfly.|Both explain the exact flight speed.|The story image gives a butterfly a voice, while the diagram labels a feature.
A story picture shows a character's shoulders drooping after a race. What can that add to the words 'The race ended'?|A clue about tiredness or disappointment.|The exact finishing time.|The name of every runner.|Posture can suggest a feeling or state that the words do not specify.
An instruction picture shows an arrow turning a lid anticlockwise. What does the arrow contribute?|Which way to turn the lid.|How much the jar weighs.|What food the reader likes.|The arrow makes the required movement clear.
A travel leaflet uses a photograph of a beach. A pirate story uses an island treasure map. Which difference fits their purposes?|The photo shows a place's appearance; the map shows locations in the adventure.|Both tell us the beach's exact temperature.|The photograph must show where treasure is buried.|The same broad setting can be represented for different reader needs.
Look at the two weather images. Which helps compare the conditions at two named times?|Image B, with morning and afternoon panels.|Image A, with a sun character speaking.|Both give a character's opinion of the weather.|Named panels organise visual weather information across times.
A poster says, 'Wash your hands,' with a picture of hands under a tap. What does the picture do?|Reinforces the action in the words.|Shows the writer's favourite tap colour.|Tells a full story about a plumber.|The visual restates the requested action in an easily recognised form.
A story drawing shows a tiny child beside a huge door. What effect can that size contrast create?|Make the doorway seem imposing to the child.|Give the exact measured height of the door.|Prove that all doors are giant.|Relative size can influence how readers experience a story setting without giving measurements.
A factual diagram labels a seed's root. An imaginative picture gives the seed shoes. Which image explains a real plant part?|The labelled diagram.|The seed wearing shoes.|Both show the real shoes all seeds have.|Labels identify real features, while shoes give the seed an imagined character quality.
A page claims a toy has four wheels, but its clear diagram shows only three wheels in a complete bottom view. What should a careful reader notice?|The words and image do not match.|Pictures must always be ignored.|The toy certainly has seven wheels.|Comparing information reveals a mismatch that needs checking rather than combining the numbers.
Two images show a bird. One is a labelled body diagram; one shows the bird rescuing a friend. What differs?|One explains features; the other advances a story event.|Both are maps showing a route.|Both only show the spelling of bird.|The same subject can be used to communicate factual parts or narrative action.
A close-up shows a bee on a flower, but the picture has no scale. Can you use its printed size as the bee's real size?|No; the image may be enlarged.|Yes; printed pictures always show real size.|Yes; a large picture proves a giant bee exists.|Close-ups magnify details and need scale information for real-size conclusions.
A comic uses a speech bubble. A map uses a key. Which pairing explains their jobs?|Bubble: spoken words. Key: meanings of map symbols.|Bubble: distances. Key: a character's voice.|Both give only the page number.|These visual text features help readers interpret different kinds of information.
A child wants readers to compare two shell shapes. Which layout best supports the purpose?|Place clear shell images side by side at a stated common scale.|Hide one shell behind the other.|Show only a colourful border and the word shells.|Visible side-by-side details and a common scale support a fair visual comparison.
A character says 'Nothing is wrong', but the picture shows a broken vase behind their back. What extra meaning is suggested?|They may be hiding what happened.|They are certainly describing every detail honestly.|The vase must have been repaired already.|The hidden broken object gives readers a clue beyond the spoken claim.
A fact book uses arrows from a whole flower to an enlarged petal. What do those arrows help connect?|The small part with its enlarged view.|The order in which the flower speaks.|The price of the flower.|The arrows show where the magnified detail belongs in the whole object.
A reader says every picture is only decoration. Which example best challenges that claim?|A map image shows which path reaches the exit.|A border repeats dots around a page.|A blank margin surrounds a title.|A route map communicates information needed to act, rather than merely decorating the text.
