# Practice: question | answer | distractor | distractor | explanation
A family checks whether their garden soil is dry before using a hose. Why?|to decide whether watering is needed|to find the garden's exact age|to predict every plant's final height|The soil observation helps with a watering decision.
A builder measures a gap before cutting a board. How does this help?|It helps choose the needed board length.|It tells the board's colour.|It makes every board the same weight.|A measurement helps the builder fit the board to the gap.
A florist records water levels in flower buckets. What can the record help them decide?|when to check and refill the buckets|which bucket is the prettiest|the exact date every flower will open|The water-level record can reveal when the flowers may need more water.
Snails appeared on a path after three rainy mornings. What prediction fits?|Snails may appear after another rainy morning.|Snails may be less likely to appear after rain.|Snails may appear only before the rain starts.|The pattern supports a cautious prediction about similar conditions.
Ice melted faster outside the freezer on several days. How can a shop use this knowledge?|keep ice frozen until it is needed|leave ice outside much earlier|assume a larger label keeps ice frozen|The observation supports keeping ice in the freezer before use.
Use the lunchbox record. Which bag is better supported for keeping a drink cool for this journey?|Bag B|Bag A|Both bags must work equally well.|The repeated comparisons show the drink stayed cooler in Bag B.
A family finds their outdoor steps wet on several misty mornings. What should they plan next time?|check the steps before using them|assume the steps are always dry|decide only from the day of the week|The pattern gives a reason to check conditions that could affect their journey.
A gardener sees leaves drooping in dry soil. Which action uses that observation?|check and meet the plant's watering needs|choose a different pot colour only|assume every plant in the garden is dry|The observed plant and soil can guide a care decision for that plant.
A sports coach notices the court has puddles after heavy rain. How can science help with today's lesson?|check the court and choose a suitable place|use yesterday's dry-court report only|assume rain cannot change the court|Current observations help the coach decide where the activity can take place.
Read the garden-light record. Which prediction is supported?|The lights may last longer after a sunny day.|The lights may last longer after a cloudy day.|The lights may last equally long after both kinds of day.|The record supports a comparison, not an absolute promise.
A cook's usual cooling time is not enough today. What should guide the next step?|check today's food temperature|assume the old timing must be right|choose the brightest plate|A familiar pattern can guide a prediction, but today's evidence still needs checking.
A family compares two rain covers over several tests. Why is that useful?|It gives evidence for choosing a cover.|It proves one cover can never leak.|It removes the need to look at results.|Tests help people choose, while leaving room for different conditions later.
A child sees a patch shaded each day at snack time. What can they reasonably predict?|It may be shaded at snack time tomorrow.|It will be shaded at every hour tomorrow.|Every patch nearby will also be shaded.|The prediction should match the place and time actually observed.
A cyclist notices falling tyre pressure over several checks. What practical action fits?|have the tyre checked|ignore the checks until the tyre is flat|change the bicycle's colour|Repeated falling pressure is useful evidence that the tyre needs attention.
An outdoor worker has last week's sunny records and today's rain forecast. Which information should guide today's plan?|both the past records and today's forecast|only the old sunny records|only the worker's favourite weather|People use relevant new information along with experience to make informed decisions.
