skill_code,skill_title,bank,question_id,question,options,correct_answer,explanation,response_type,question_type,cognitive_demand,acceptance_note,visual,ixl_reference_url,curriculum_source,qa_status
AC9M1N01,Numbers to 120,practice,P11,"One card says 106. Another says 116.
Which sentence is true?","{""A"": ""106 is smaller than 116"", ""B"": ""The cards show the same number"", ""C"": ""106 is larger than 116""}",A,106 comes before 116 when counting.,mcq,compare two numerals,reason,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P12,"These marks are 1 apart on a number line.
107 — __ — 109 — 110
Write the missing number.",{},108,108 sits between 107 and 109.,short_answer,unit number-line position,apply,,"{""type"": ""table"", ""headers"": [""Mark 1"", ""Mark 2"", ""Mark 3"", ""Mark 4""], ""rows"": [[""107"", ""__"", ""109"", ""110""]]}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P13,Which card says one hundred and twenty?,"{""A"": ""102"", ""B"": ""112"", ""C"": ""120""}",C,One hundred and twenty is written 120.,mcq,recognise three-digit numeral,recognise,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P14,"Read this part of a number chart.
88  89  90
98  99  100
108  109  110
Which number is directly above 109?","{""A"": ""100"", ""B"": ""99"", ""C"": ""108""}",B,99 is one row above 109 in the same column.,mcq,locate numeral in chart,apply,,"{""type"": ""grid"", ""rows"": [[""88"", ""89"", ""90""], [""98"", ""99"", ""100""], [""108"", ""109"", ""110""]], ""caption"": ""Part of a number chart""}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P15,"These number cards are in order, with one space empty.
65, __, 68
Which card could go in the space?","{""A"": ""67"", ""B"": ""64"", ""C"": ""69""}",A,67 is larger than 65 and smaller than 68.,mcq,choose number between bounds,reason,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P16,"Each full strip holds 10 counters. There are 10 full strips and 3 loose counters.
Write the number shown.",{},103,"Ten strips show 100 counters. With 3 loose counters, the number is 103.",short_answer,grouped quantity to numeral,apply,,"{""type"": ""groups"", ""groups"": [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 3], ""label"": ""Counters""}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P17,"The marks on a number line are 1 apart.
112 — 113 — 114 — 115
Which number is farthest to the left?","{""A"": ""115"", ""B"": ""112"", ""C"": ""114""}",B,Numbers increase towards the right on this line. 112 is farthest left.,mcq,read number-line order,recognise,,"{""type"": ""table"", ""headers"": [""Leftmost mark"", ""Next mark"", ""Next mark"", ""Rightmost mark""], ""rows"": [[""112"", ""113"", ""114"", ""115""]]}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P18,"The card 72 is labelled seventy-two. The card 27 is also labelled seventy-two.
Which card has the wrong label?","{""A"": ""27"", ""B"": ""72"", ""C"": ""Neither card""}",A,27 means twenty-seven. Seventy-two is written 72.,mcq,repair numeral-word match,reason,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P19,Which list is ordered from largest to smallest?,"{""A"": ""98, 108, 118"", ""B"": ""118, 98, 108"", ""C"": ""118, 108, 98""}",C,"118 is largest, then 108, then 98.",mcq,descending order,apply,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P20,"Choose two different numbers between 90 and 94. Do not use 90 or 94.
Write your numbers from smallest to largest.",{},"91, 93","91, 92 and 93 are all between 90 and 94. Any two of them can be placed in order.",short_answer,create ordered selection,create,"Accept 91,92; 91,93; or 92,93 in increasing order.",null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P21,"A chart counts across the row by ones.
111  112  113  115  115
Which number should replace the FIRST 115?","{""A"": ""114"", ""B"": ""110"", ""C"": ""116""}",A,"The row should read 111, 112, 113, 114, 115.",mcq,repair number chart,reason,,"{""type"": ""table"", ""headers"": [""Position 1"", ""Position 2"", ""Position 3"", ""Position 4"", ""Position 5""], ""rows"": [[""111"", ""112"", ""113"", ""115"", ""115""]]}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P22,Which label matches 12 full strips of 10 counters?,"{""A"": ""One hundred and twenty"", ""B"": ""One hundred and two"", ""C"": ""Twelve""}",A,Twelve full strips of 10 show 120 counters.,mcq,representation to number words,apply,,"{""type"": ""groups"", ""groups"": [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10], ""label"": ""Counters""}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P23,"A number card is larger than 105 and smaller than 110.
Which card fits both clues?","{""A"": ""111"", ""B"": ""104"", ""C"": ""108""}",C,108 comes after 105 and before 110.,mcq,two-clue numeral selection,reason,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,practice,P24,"Four cards should be in order from smallest to largest.
101, 110, 109, 120
Write them in the correct order.",{},"101, 109, 110, 120","109 comes before 110. The correct order is 101, 109, 110, 120.",short_answer,repair ordered list,reason,"Accept exactly these four numerals in increasing order, with any clear separators.",null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T01,Which number is one hundred and nine?,"{""A"": ""190"", ""B"": ""109"", ""C"": ""119""}",B,One hundred and nine is written 109.,mcq,recognise three-digit numeral,recognise,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T02,"A number is shown by 6 full strips of 10 counters and 2 loose counters.
Which card matches?","{""A"": ""26"", ""B"": ""68"", ""C"": ""62""}",C,Six strips show 60 counters. Two more make 62.,mcq,grouped quantity to numeral,apply,,"{""type"": ""groups"", ""groups"": [10, 10, 10, 10, 10, 10, 2], ""label"": ""Counters""}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T03,Which list goes from smallest to largest?,"{""A"": ""97, 79, 107"", ""B"": ""79, 97, 107"", ""C"": ""107, 97, 79""}",B,"79 comes before 97, and 97 comes before 107.",mcq,order three numerals,apply,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T04,Write the number immediately before 120.,{},119,"The counting order ends 118, 119, 120.",short_answer,cross decade or hundred boundary,apply,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T05,"Read this part of a number chart.
76  77  78
86  87  88
96  97  98
Which number is directly below 87?","{""A"": ""96"", ""B"": ""97"", ""C"": ""88""}",B,97 is directly below 87 in the same column.,mcq,locate numeral in chart,apply,,"{""type"": ""grid"", ""rows"": [[""76"", ""77"", ""78""], [""86"", ""87"", ""88""], [""96"", ""97"", ""98""]], ""caption"": ""Part of a number chart""}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T06,"The marks on a number line are 1 apart.
98 — 99 — ? — 101
Which number belongs at the missing mark?","{""A"": ""100"", ""B"": ""110"", ""C"": ""90""}",A,100 lies after 99 and before 101.,mcq,unit number-line position,apply,,"{""type"": ""table"", ""headers"": [""Mark 1"", ""Mark 2"", ""Mark 3"", ""Mark 4""], ""rows"": [[""98"", ""99"", ""?"", ""101""]]}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T07,A card says 114. Which label should go with it?,"{""A"": ""One hundred and forty"", ""B"": ""One hundred and four"", ""C"": ""One hundred and fourteen""}",C,114 is read as one hundred and fourteen.,mcq,numeral to words,recognise,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T08,"Choose one whole number larger than 112 and smaller than 116.
Write your number.",{},114,"113, 114 and 115 are all larger than 112 and smaller than 116.",short_answer,create numeral from bounds,create,"Accept 113, 114 or 115.",null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T09,"These cards should count on by ones.
57, 58, 59, 70, 61
Which card should replace 70?","{""A"": ""60"", ""B"": ""69"", ""C"": ""71""}",A,"The number after 59 is 60. The row should read 57, 58, 59, 60, 61.",mcq,repair counting order,reason,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T10,Which number is smallest?,"{""A"": ""102"", ""B"": ""120"", ""C"": ""112""}",A,102 comes before both 112 and 120.,mcq,select minimum numeral,apply,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T11,"Two models are labelled below. Every full strip holds 10 counters.
Model A: 9 full strips and 1 loose counter.
Model B: 1 full strip and 9 loose counters.
Which model shows 91?","{""A"": ""Model B"", ""B"": ""Both models"", ""C"": ""Model A""}",C,"Model A shows 90 and 1 more, which is 91. Model B shows 19.",mcq,compare place-value representations,reason,,"{""type"": ""table"", ""headers"": [""Model"", ""Full strips of 10"", ""Loose counters""], ""rows"": [[""A"", ""9"", ""1""], [""B"", ""1"", ""9""]]}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T12,"Write these cards from largest to smallest:
85, 105, 95",{},"105, 95, 85","105 is largest. 95 comes next, then 85.",short_answer,descending order,apply,"Accept 105, 95, 85 in that order, with any clear separators.",null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T13,"The marks on a number line are 1 apart.
116 — 117 — 118 — 119
Which number is two marks to the right of 116?","{""A"": ""118"", ""B"": ""119"", ""C"": ""117""}",A,The first mark to the right is 117. The second is 118.,mcq,locate number-line position,apply,,"{""type"": ""table"", ""headers"": [""Mark 1"", ""Mark 2"", ""Mark 3"", ""Mark 4""], ""rows"": [[""116"", ""117"", ""118"", ""119""]]}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T14,"Which card fits this space in an ordered row?
103, __, 106, 108","{""A"": ""109"", ""B"": ""102"", ""C"": ""105""}",C,"105 is after 103 and before 106, so the whole row stays in order.",mcq,choose number between bounds,reason,,null,https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T15,"Part of a ten-column number chart is shown.
91  92  93  94  95
Which part of the next row belongs directly underneath it?","{""A"": ""96  97  98  99  100"", ""B"": ""101  102  103  104  105"", ""C"": ""81  82  83  84  85""}",B,"In this number chart, each number underneath is 10 more. 101 belongs under 91.",mcq,match chart rows,reason,,"{""type"": ""table"", ""headers"": [""Column 1"", ""Column 2"", ""Column 3"", ""Column 4"", ""Column 5""], ""rows"": [[""91"", ""92"", ""93"", ""94"", ""95""]]}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N01,Numbers to 120,test,T16,Write the number shown by 11 full strips of 10 counters and 8 loose counters.,{},118,"Eleven full strips show 110 counters. With 8 loose counters, the number is 118.",short_answer,grouped quantity to numeral,apply,,"{""type"": ""groups"", ""groups"": [10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 8], ""label"": ""Counters""}",https://au.ixl.com/maths/year-1/use-place-value-to-compare-numbers-up-to-120,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P01,"Seven counters are split into two groups.
Group A: ● ● ● ●
Group B: ● ● ●
Which two parts make 7?","{""A"": ""4 and 3"", ""B"": ""3 and 3"", ""C"": ""4 and 4""}",A,One group has 4 counters and the other has 3. Together they make 7.,mcq,read concrete two-part partition,recognise,,"{""type"": ""groups"", ""groups"": [4, 3], ""label"": ""Counters""}",https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P02,A whole set has 4 buttons. Which split uses all 4 buttons?,"{""A"": ""1 and 3"", ""B"": ""1 and 2"", ""C"": ""2 and 3""}",A,1 button and 3 buttons make the whole set of 4.,mcq,choose two-part partition,apply,,null,https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P03,"A whole set of 8 blocks is split into two trays.
Tray A has 5 blocks.
How many blocks are in tray B?","{""A"": ""5"", ""B"": ""4"", ""C"": ""3""}",C,8 can be split into 5 and 3.,mcq,missing part of a collection,apply,,"{""type"": ""table"", ""headers"": [""Whole set"", ""Tray A"", ""Tray B""], ""rows"": [[""8"", ""5"", ""?""]]}",https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P04,"Split 6 counters into two non-empty groups.
Write how many counters are in each group.",{},2 and 4,2 and 4 is one way to split 6. Other two-part splits can also make 6.,short_answer,create two-part partition,create,"Accept any pair of positive whole numbers with total 6, in either order.",null,https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P05,Which picture splits 9 counters into 6 and 3?,"{""A"": ""● ● ● ● ● ● | ● ● ●"", ""B"": ""● ● ● ● ● ● | ● ●"", ""C"": ""● ● ● ● ● | ● ● ● ●""}",A,The matching picture has 6 counters on one side and 3 on the other.,mcq,match partition to concrete model,apply,,null,https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P06,"57 is split into tens and ones.
How many tens and ones are there?","{""A"": ""5 tens and 7 ones"", ""B"": ""5 tens and 2 ones"", ""C"": ""7 tens and 5 ones""}",A,"57 is 50 and 7, or 5 tens and 7 ones.",mcq,standard tens-and-ones partition,recognise,,null,https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P07,"32 counters are split into a group of 20 and another group.
How many are in the other group?","{""A"": ""2"", ""B"": ""12"", ""C"": ""22""}",B,32 can be split into 20 and 12. The second group holds the remaining ten and two ones.,mcq,nonstandard missing part,apply,,null,https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P08,"Split 46 into tens and ones.
46 = __ + __
Write the two parts.",{},40 and 6,"46 has 4 tens and 6 ones, so its parts are 40 and 6.",short_answer,write standard expanded partition,apply,"Accept 40 and 6 in either order, including 40 + 6.",null,https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P09,"Two models each show some counters.
A: 2 full strips of 10 and 7 loose counters.
B: 1 full strip of 10 and 17 loose counters.
Which model shows 27?","{""A"": ""Only B"", ""B"": ""Only A"", ""C"": ""Both A and B""}",C,20 and 7 make 27. 10 and 17 also make 27.,mcq,compare equivalent partitions,reason,,"{""type"": ""table"", ""headers"": [""Model"", ""Full strips of 10"", ""Loose counters""], ""rows"": [[""A"", ""2"", ""7""], [""B"", ""1"", ""17""]]}",https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P10,"Eight tiles are split into two equal groups.
Which split is right?","{""A"": ""3 and 5"", ""B"": ""2 and 6"", ""C"": ""4 and 4""}",C,"4 and 4 make 8, and the two parts are equal.",mcq,partition with equal-parts condition,apply,,null,https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
AC9M1N02,Partitioning Tens and Ones,practice,P11,"Complete this split of 64.
Whole: 64
Parts: 20 and ?
What is the missing part?","{""A"": ""4"", ""B"": ""44"", ""C"": ""24""}",B,20 and 44 make 64. This is a different split from 60 and 4.,mcq,nonstandard missing part,apply,,"{""type"": ""table"", ""headers"": [""Whole"", ""Part 1"", ""Part 2""], ""rows"": [[""64"", ""20"", ""?""]]}",https://au.ixl.com/maths/year-1/ways-to-make-a-number-tens-and-ones,https://www.qcaa.qld.edu.au/downloads/aciqv9/mathematics/curriculum/ac9_maths_yr1_as_cd_alignment.pdf,owner_requested_import
