# Practice
A class sorts leaves by their edges. Which pair of labels uses that feature?|smooth edge / jagged edge|green / brown|large / small|The first labels sort by edges; the other pairs use colour or size.
A class wants a model of the order in which a puddle dried. Which set is useful?|dated drawings of the same puddle|drawings of different puddles with no dates|only a drawing of the empty sky|The same puddle at identified times can represent change in order.
Two groups each counted four insects, but drew different-sized symbols. What should readers use to compare the totals?|the number of symbols and the key|only the size of the drawings|only which row covers more paper|Larger drawings do not mean more insects when each symbol represents one.
A class used 'wet' and 'dry' to sort soil samples. One is partly damp. What should they do with guidance?|agree how to classify damp samples before placing it|choose whichever group has fewer samples|change the rule secretly for that sample|An agreed rule makes the sort clear and consistent.
# Test
A class sorts stones by colour. Which labels fit?|grey / brown|rough / smooth|long / short|Grey and brown are colour categories.
A shell has no stripes. Where does it belong in a stripe-based sort?|not striped|striped|both groups|The shell belongs in the group matching the observed feature.
Read the pond graph. Which group has the greatest count?|frogs|ducks|both equally|The frog row has more one-animal symbols.
A table shows 2 beetles, 5 ants and 2 worms. Which groups have equal counts?|beetles and worms|ants and worms|ants and beetles|Beetles and worms each have a count of two.
A graph key says one picture means one bird. A row has three pictures. What does it show?|3 birds|1 bird|6 birds|The key gives one bird per picture.
A plant's records are labelled Day 3, Day 1 and Day 2. How should they be ordered over time?|Day 1, Day 2, Day 3|Day 3, Day 2, Day 1|Day 2, Day 1, Day 3|A time-ordered display follows the days in sequence.
A leaf is green with a jagged edge. It is being sorted by edge type. Which group fits?|jagged edge|smooth edge because it is green|neither because it has two features|The edge, rather than colour, is the sorting feature.
The table says 4 flowers were observed. A one-flower picture graph shows 3. What should be checked?|the count and the missing picture|only the flower colours|whether to change the key without saying so|The representation should match the original count.
Read the three-day record. Which description matches?|the number increased each day|the number decreased each day|the number stayed the same|The counts rise from one day to the next.
A class sorts test results into 'rolled' and 'did not roll'. A round object did not roll in its trial. Where does that result go?|did not roll|rolled because it is round|both groups because it might roll later|The display represents what happened in the recorded trial.
Two rows show five symbols each, but one row uses larger symbols. The key is one animal per symbol. How do the totals compare?|they are equal|the larger-symbol row has more|the smaller-symbol row has more|Both rows represent five animals.
A weather table has dates but the symbols have no explanation. What could help readers?|a key explaining the weather symbols|more dates without observations|a larger border around the table|A key explains what the symbols represent.
Use the soil table. Which comparison is supported?|Damp samples are more common than dry samples in this collection.|Dry samples are more common than damp samples.|The two groups contain equal numbers.|The damp group has the larger count in this collection.
A class has records of a caterpillar, a pupa and a butterfly at different times. How can it show the observed sequence?|put the dated records in time order|sort the records only by picture size|place the favourite picture first|Dates preserve the sequence that was observed.
A sample appears in two groups in a one-group-per-sample sort. Why check it?|it may make the total too high|it automatically makes both groups correct|it makes the sample larger|Counting one sample twice can overstate the total.
A chart shows rainy, dry, rainy, dry. Which statement describes the record?|rainy and dry days alternate|all recorded days are rainy|rain increases every day|The categories alternate in the four observations shown.
