# Practice
A child predicted the sunny puddle would dry first. It did dry first. How does the result compare?|It matches the prediction this time.|It is the opposite of the prediction.|It tells us nothing about drying.|The observed outcome matches the expected outcome in this test.
A class predicted shade would keep ice longer. One shaded cube was much larger than the sunny cube. What should they question?|whether cube size made the comparison unfair|whether the prediction was written neatly|whether shade has a shorter name|Different starting sizes could affect how long the cubes last.
A leaf with holes is found beside an unmarked leaf. Which question explores how the holes change over time?|Will more holes appear if we keep observing these leaves?|Which leaf is longer today?|Are both leaves the same shade of green?|Repeated observations can explore whether the visible difference changes.
Use the trial record. Which conclusion uses every result?|A went farther twice, and B went farther once.|A went farther in all three trials.|B went farther in all three trials.|The conclusion must preserve both the repeated result and the different result.
Two children disagree about a count from the same photo. What could help?|look at the photo together and count carefully|keep only the larger count without checking|choose the count that matches the prediction|Rechecking the shared evidence can help resolve the disagreement.
A toy car stopped early because someone touched it. What should the class do?|note the touch and repeat without it|hide that trial and pretend it never happened|use it as proof that the ramp never works|The touch affected the trial. Recording it and repeating helps make a clearer comparison.
A test shows water passed through cloth but not plastic. Which question tests another way to keep the paper underneath dry?|Would another cloth keep more water out?|How wide is the paper before it gets wet?|How long does the wet paper take to dry?|The question extends the observed difference in water resistance.
# Test
A child predicted a folded bridge would hold more counters. It did. What is a careful statement?|The prediction matched this test.|Every folded bridge must always hold more.|The result did not match the prediction.|The result supports the prediction in the observed test without proving a universal rule.
A child expected the large ball to roll farther, but the small ball did. What should be reported?|the result did not match the prediction|the large ball won because it was expected|the result must be left out|The report should compare the expectation with the actual outcome.
Read the observer cards. What is different?|their recorded leaf counts|the plant they observed|the day they observed it|The cards show different counts for the same plant on the same day.
One towel starts dry and the other starts wet. What should be questioned in an absorption comparison?|whether their starting conditions are fair|whether their labels use the same ink|whether both are called towels|The starting wetness differs and could affect the result.
A child predicts a ball will bounce higher on a hard floor than a mat. What observation is relevant?|how high it bounces on each surface|how brightly coloured the ball is|how many children like the mat|The evidence must address bounce height on the two surfaces.
A class sees more insects under one log than another. Which question extends the comparison of insect numbers?|Would another similar log have more insects too?|Which of these logs has the roughest bark?|How long is each log?|The question extends the observed difference to another place.
A result is different from what the group hoped. What should happen?|record it and compare it with the prediction|replace it with the hoped-for result|stop keeping any records|The real result remains useful evidence even when it is unexpected.
Two groups count birds at different times. Their totals differ. What should they consider?|birds may have moved between the observations|both counts must be identical|the larger number is automatically the correct one|Different times can produce different observations.
Read the repeated results. Which statement fits?|the same cover kept the paper drier in both trials|a different cover worked better in each trial|both covers kept the paper equally dry|The record identifies the same better-performing cover twice.
A car test changes only the rolling surface and uses the same car. Why is that helpful?|It makes the surface comparison clearer.|It guarantees the car travels equally far.|It removes the need to observe the car.|Keeping the car the same helps compare the surfaces.
Two observers give different counts for the same tray of seeds. What is a useful next step?|recount the seeds together|accept the larger count without checking|change both counts to their prediction|A shared recount checks the evidence directly.
A paper boat sank after taking on water. Which question tests a way to keep water out?|Would a waterproof coating help it stay afloat longer?|How many folds are already in this boat?|How wide is the boat before it is put in water?|The question explores a possible way to address the observed water entry.
A child compares two ice cubes but puts them out at different times. What should they check?|whether the different starting times affected the comparison|whether the labels have the same number of letters|whether both cubes are made of ice|Different exposure times can make the comparison unfair.
A prediction says one ball will go farther, but the balls stop together. How does the result compare?|It does not match the predicted difference.|It matches because both balls moved.|It proves the prediction was never made.|Equal travel does not match a prediction that one travels farther.
A group gets two similar results and one different result. Which record is suitable?|keep all three and look for a reason for the difference|keep only the two matching results|keep only the different result|All observations matter; the difference may lead to useful questions.
A sponge soaked up water quickly at first, then left water behind. Which question explores how much it can take up?|How much water can the sponge hold before it stops soaking it up?|How long does the wet sponge take to dry?|How much water drips out when the sponge is squeezed?|The question follows the observed change in the sponge's ability to take up more water.
