"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation","visual_description","visual_asset","visual_svg","response_type","acceptance_note"
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-011","A dial points to the bottom. After a clockwise quarter turn, where does it point?","A. Right | B. Top | C. Left","Left","From the bottom, the next clockwise quarter leads to the left. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-012","A closed door opens until the door and doorway form a square corner. What is the smaller turn?","A. A half turn | B. A quarter turn | C. A full turn","A quarter turn","The two positions form one quarter of a full rotation. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-013","An arrow starts pointing left. After a clockwise three-quarter turn, where does it point?","A. Top | B. Right | C. Bottom","Bottom","Follow left to top, right, then bottom: three quarters. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-014","An arrow starts at the top and turns three quarters anticlockwise. Where does it finish?","A. Right | B. Left | C. Bottom","Right","Follow top to left, bottom, then right. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-015","A dancer makes a half turn and then a quarter turn in the same direction. What is the total turn?","A. A quarter turn | B. A three-quarter turn | C. A full turn","A three-quarter turn","A half is two quarters; adding one quarter makes three. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-016","A spinner has turned three quarters of the way around. What more is needed in the same direction for a full turn?","A. A half turn | B. A quarter turn | C. A three-quarter turn","A quarter turn","Three quarters plus one quarter completes the circle. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-017","You turn a quarter clockwise, then a quarter anticlockwise. Where do you face?","A. In the starting direction | B. In the opposite direction | C. A half turn clockwise from the start","In the starting direction","The second turn reverses the first. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-018","Two arrows start at the top. One turns a quarter clockwise; the other turns three quarters anticlockwise. Do they finish alike?","A. No; they point opposite ways | B. Yes; both point left | C. Yes; both point right","Yes; both point right","Different amounts and directions can have the same finishing orientation. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-019","Two children each make a half turn, one slowly and one quickly. Who makes the larger turn?","A. Neither; the turn amounts are equal | B. The quicker child | C. The slower child","Neither; the turn amounts are equal","Turn amount measures rotation, not speed. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-020","A ray moves from pointing up to pointing down. Can either direction make a half turn?","A. Only clockwise can | B. Yes; clockwise and anticlockwise both can | C. Only anticlockwise can","Yes; clockwise and anticlockwise both can","Half a circle reaches the opposite direction either way. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-021","The starting and finishing lines form a square corner. Why must you also look at the curved arrow?","A. It tells how long the line is | B. It always means a full turn | C. It shows whether the turn goes a quarter or three quarters around","It shows whether the turn goes a quarter or three quarters around","The same pair of lines can be joined by a short or long rotation. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-022","A wheel makes two half turns in the same direction. What is the total?","A. One quarter turn | B. Three quarters of a turn | C. One full turn","One full turn","Each half contains two quarters; together they contain four. Hint: Use the information in the question and check each step.","","","","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-023","Use a pencil as a pointer. Start it pointing to the top of your page. Show a clockwise quarter turn, then continue another quarter turn. Name the total.","","First point right, then bottom; the total is a half turn.","First point right, then bottom; the total is a half turn. Hint: Observe both successive turns; moving the pencil sideways without rotating it is not a turn.","","","","adult-review","Observe both successive turns; moving the pencil sideways without rotating it is not a turn."
"AC9M2M05","Quarter, half, three-quarter and full turns","practice","AC9M2M05-P-024","Show an adult a half turn and a full turn using a toy or your body. Explain how their ending directions differ.","","A half turn ends opposite the start; a full turn returns to the starting direction.","A half turn ends opposite the start; a full turn returns to the starting direction. Hint: Accept safe physical demonstration with the two amounts correctly distinguished.","","","","adult-review","Accept safe physical demonstration with the two amounts correctly distinguished."
"AC9M2M05","Quarter, half, three-quarter and full turns","test","AC9M2M05-T-001","Which turn is indicated by this curved arrow?","A. A half turn | B. A three-quarter turn | C. A quarter turn","A quarter turn","The curved path covers one quarter of a full circle. Hint: Use the information in the question and check each step.","Turn diagram, grey starting ray at 180 degrees clockwise from top; curved arrow travels 1 quarter-turns anticlockwise.","/assets/assessment-visuals/year2/math/ac9m2m05.svg?v=20260906-year2-pending-release#ac9m2m05-t-001","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""27"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">Follow the curved arrow</text><text x=""320.0"" y=""48.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Top</text><text x=""545.0"" y=""158.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Right</text><text x=""320.0"" y=""268.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Bottom</text><text x=""95.0"" y=""158.00000000000003"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Left</text><polyline points=""320.0,233.0 326.5,232.7 333.0,232.0 339.4,230.7 345.6,228.9 351.8,226.7 357.7,224.0 363.4,220.8 368.8,217.1 373.9,213.1 378.7,208.7 383.1,203.9 387.1,198.8 390.8,193.4 394.0,187.7 396.7,181.8 398.9,175.6 400.7,169.4 402.0,163.0 402.7,156.5 403.0,150.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M408.7798284595412 161.6444657661173L403.0 150.0L396.32437456843587 161.15508964990664"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M320 150L410.0 150.0"" fill=""none"" stroke=""#17324d"" stroke-width=""5""/><path d=""M320 150L320.0 216.0"" fill=""none"" stroke=""#777"" stroke-width=""5""/><text x=""320"" y=""287"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Grey = start; dark = finish</text></svg>","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","test","AC9M2M05-T-002","What fraction of a full turn is shown?","A. One half | B. One quarter | C. Three quarters","One half","The end ray points opposite the start after two quarters. Hint: Use the information in the question and check each step.","Turn diagram, grey starting ray at 0 degrees clockwise from top; curved arrow travels 2 quarter-turns anticlockwise.","/assets/assessment-visuals/year2/math/ac9m2m05.svg?v=20260906-year2-pending-release#ac9m2m05-t-002","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""27"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">Follow the curved arrow</text><text x=""320.0"" y=""48.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Top</text><text x=""545.0"" y=""158.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Right</text><text x=""320.0"" y=""268.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Bottom</text><text x=""95.0"" y=""158.00000000000003"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Left</text><polyline points=""320.0,67.0 313.5,67.3 307.0,68.0 300.6,69.3 294.4,71.1 288.2,73.3 282.3,76.0 276.6,79.2 271.2,82.9 266.1,86.9 261.3,91.3 256.9,96.1 252.9,101.2 249.2,106.6 246.0,112.3 243.3,118.2 241.1,124.4 239.3,130.6 238.0,137.0 237.3,143.5 237.0,150.0 237.3,156.5 238.0,163.0 239.3,169.4 241.1,175.6 243.3,181.8 246.0,187.7 249.2,193.4 252.9,198.8 256.9,203.9 261.3,208.7 266.1,213.1 271.2,217.1 276.6,220.8 282.3,224.0 288.2,226.7 294.4,228.9 300.6,230.7 307.0,232.0 313.5,232.7 320.0,233.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M308.3555342338827 238.7798284595412L320.0 233.0L308.84491035009336 226.32437456843584"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M320 150L320.0 240.0"" fill=""none"" stroke=""#17324d"" stroke-width=""5""/><path d=""M320 150L320.0 84.0"" fill=""none"" stroke=""#777"" stroke-width=""5""/><text x=""320"" y=""287"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Grey = start; dark = finish</text></svg>","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","test","AC9M2M05-T-003","Name the rotation shown by the curved path.","A. A quarter turn | B. A three-quarter turn | C. A half turn","A three-quarter turn","Trace all three quarters of the marked path. Hint: Use the information in the question and check each step.","Turn diagram, grey starting ray at 90 degrees clockwise from top; curved arrow travels 3 quarter-turns clockwise.","/assets/assessment-visuals/year2/math/ac9m2m05.svg?v=20260906-year2-pending-release#ac9m2m05-t-003","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""27"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">Follow the curved arrow</text><text x=""320.0"" y=""48.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Top</text><text x=""545.0"" y=""158.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Right</text><text x=""320.0"" y=""268.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Bottom</text><text x=""95.0"" y=""158.00000000000003"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Left</text><polyline points=""403.0,150.0 402.7,156.5 402.0,163.0 400.7,169.4 398.9,175.6 396.7,181.8 394.0,187.7 390.8,193.4 387.1,198.8 383.1,203.9 378.7,208.7 373.9,213.1 368.8,217.1 363.4,220.8 357.7,224.0 351.8,226.7 345.6,228.9 339.4,230.7 333.0,232.0 326.5,232.7 320.0,233.0 313.5,232.7 307.0,232.0 300.6,230.7 294.4,228.9 288.2,226.7 282.3,224.0 276.6,220.8 271.2,217.1 266.1,213.1 261.3,208.7 256.9,203.9 252.9,198.8 249.2,193.4 246.0,187.7 243.3,181.8 241.1,175.6 239.3,169.4 238.0,163.0 237.3,156.5 237.0,150.0 237.3,143.5 238.0,137.0 239.3,130.6 241.1,124.4 243.3,118.2 246.0,112.3 249.2,106.6 252.9,101.2 256.9,96.1 261.3,91.3 266.1,86.9 271.2,82.9 276.6,79.2 282.3,76.0 288.2,73.3 294.4,71.1 300.6,69.3 307.0,68.0 313.5,67.3 320.0,67.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M308.84491035009336 73.67562543156413L320.0 67.0L308.35553423388274 61.22017154045878"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M320 150L320.0 60.0"" fill=""none"" stroke=""#17324d"" stroke-width=""5""/><path d=""M320 150L386.0 150.0"" fill=""none"" stroke=""#777"" stroke-width=""5""/><text x=""320"" y=""287"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Grey = start; dark = finish</text></svg>","multiple-choice",""
"AC9M2M05","Quarter, half, three-quarter and full turns","test","AC9M2M05-T-004","This pointer follows a complete circle. How much does it turn?","A. One half turn | B. One full turn | C. Three quarters of a turn","One full turn","A complete circle contains four quarter-turns. Hint: Use the information in the question and check each step.","Turn diagram, grey starting ray at 180 degrees clockwise from top; curved arrow travels 4 quarter-turns anticlockwise.","/assets/assessment-visuals/year2/math/ac9m2m05.svg?v=20260906-year2-pending-release#ac9m2m05-t-004","<svg xmlns=""http://www.w3.org/2000/svg"" viewBox=""0 0 640 300"" width=""640"" height=""300""><rect width=""640"" height=""300"" fill=""#f8fbff""/><text x=""320"" y=""27"" font-family=""Arial,sans-serif"" font-size=""20"" fill=""#17324d"" text-anchor=""middle"">Follow the curved arrow</text><text x=""320.0"" y=""48.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Top</text><text x=""545.0"" y=""158.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Right</text><text x=""320.0"" y=""268.0"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Bottom</text><text x=""95.0"" y=""158.00000000000003"" font-family=""Arial,sans-serif"" font-size=""18"" fill=""#17324d"" text-anchor=""middle"">Left</text><polyline points=""320.0,233.0 326.5,232.7 333.0,232.0 339.4,230.7 345.6,228.9 351.8,226.7 357.7,224.0 363.4,220.8 368.8,217.1 373.9,213.1 378.7,208.7 383.1,203.9 387.1,198.8 390.8,193.4 394.0,187.7 396.7,181.8 398.9,175.6 400.7,169.4 402.0,163.0 402.7,156.5 403.0,150.0 402.7,143.5 402.0,137.0 400.7,130.6 398.9,124.4 396.7,118.2 394.0,112.3 390.8,106.6 387.1,101.2 383.1,96.1 378.7,91.3 373.9,86.9 368.8,82.9 363.4,79.2 357.7,76.0 351.8,73.3 345.6,71.1 339.4,69.3 333.0,68.0 326.5,67.3 320.0,67.0 313.5,67.3 307.0,68.0 300.6,69.3 294.4,71.1 288.2,73.3 282.3,76.0 276.6,79.2 271.2,82.9 266.1,86.9 261.3,91.3 256.9,96.1 252.9,101.2 249.2,106.6 246.0,112.3 243.3,118.2 241.1,124.4 239.3,130.6 238.0,137.0 237.3,143.5 237.0,150.0 237.3,156.5 238.0,163.0 239.3,169.4 241.1,175.6 243.3,181.8 246.0,187.7 249.2,193.4 252.9,198.8 256.9,203.9 261.3,208.7 266.1,213.1 271.2,217.1 276.6,220.8 282.3,224.0 288.2,226.7 294.4,228.9 300.6,230.7 307.0,232.0 313.5,232.7 320.0,233.0"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M308.3555342338827 238.7798284595412L320.0 233.0L308.84491035009336 226.32437456843584"" fill=""none"" stroke=""#087fa5"" stroke-width=""4""/><path d=""M320 150L320.0 240.0"" fill=""none"" stroke=""#17324d"" stroke-width=""5""/><path d=""M320 150L320.0 216.0"" fill=""none"" stroke=""#777"" stroke-width=""5""/><text x=""320"" y=""287"" font-family=""Arial,sans-serif"" font-size=""17"" fill=""#17324d"" text-anchor=""middle"">Grey = start; dark = finish</text></svg>","multiple-choice",""
