ac9s2i01-p-044	A paper strip bends under one block. A folded strip stays up. What could you predict about another folded strip?	It may hold one block without bending much	It must hold every block in the room	It cannot bend at all	The first comparison supports a cautious prediction about another folded strip.
ac9s2i01-p-045	Snails were seen under damp leaves on three mornings. What question follows this pattern?	Are more snails found under damp leaves than dry leaves?	Which snail has the best shell?	Do snails know the days of the week?	The class can compare counts while leaving snails undisturbed.
ac9s2i01-p-046	A wind spinner turns quickly in a breeze. What might happen when the breeze stops?	The spinner may slow down	The spinner will turn into paper	The spinner must turn faster	The observation links moving air with the spinner turning.
ac9s2i01-p-047	A wet footprint fades from the path. Which question could a class explore?	How long does the footprint stay visible?	Was it a lucky footprint?	Does the footprint like the path?	The time until the mark fades can be observed and recorded.
ac9s2i01-p-048	A foil boat holds blocks, then sinks when another is added. What could you investigate next?	Would a wider foil boat hold more blocks?	Which boat looks happiest?	Can foil remember the blocks?	Changing boat width gives a new question about the observed result.
ac9s2i02-p-041	A class will observe worms in soil. How should the worms be treated?	Handle them gently as instructed and return them safely	Leave them in direct sunlight	Pull them to see if they stretch	Safe investigations also care for living things.
ac9s2i02-p-042	For a leaf-rubbing activity, where should paper and crayons be placed?	On a clear, steady work surface	On the edge of a full water tub	Across a walkway	A clear, steady surface helps prevent spills and trips.
ac9s2i02-p-043	Two children share a timer and a notebook. What plan helps them work together?	Agree who times and who records	Both leave the notebook closed	Start before anyone knows their job	Agreeing on roles helps the group follow the investigation steps.
ac9s2i02-p-044	A class watches a feather fall. How can they keep the test safe?	Drop it from a reachable height as instructed	Climb onto a cupboard	Stand on a rolling chair	A reachable release point avoids a fall risk.
ac9s2i02-p-045	A teacher provides a tray for breaking dry clay. Why use the tray?	To keep small pieces in one place	To make every piece the same size	To turn clay into a liquid	The tray contains pieces and makes clean-up easier.
ac9s2i02-p-046	Children will take turns at a sound station. Which plan protects everyone's hearing?	Use gentle sounds and wait for a turn	Play every instrument beside one ear	Keep increasing the volume	Gentle sounds and orderly turns make a safer investigation.
ac9s2i02-p-047	A class compares paper spinners. What should they decide before dropping them?	Where to start and when to stop timing	Which result to erase	Which spinner must win	Agreed start and finish points make the timing clear.
ac9s2i02-p-048	A feather observation is finished. What should happen before the next group starts?	Return the materials and clear the workspace	Leave materials on the floor	Mix the records with another group's notes	Resetting the station keeps the next group's work safe and organised.
ac9s2i03-p-041	A balance tips down on the side holding a pine cone. The other side holds a leaf. What can be recorded?	The pine cone is heavier than the leaf	The leaf is heavier than the pine cone	Both have the same mass	The lower side of a balance holds the heavier load.
ac9s2i03-p-042	A child measures a stick with blocks but leaves gaps. What needs fixing?	Place the blocks end to end without gaps	Use a larger notebook	Count each gap as a block	Gaps add space that is not part of the measuring units.
ac9s2i03-p-043	A class counts birds for five minutes. A bird cannot be identified. What should the record say?	One unidentified bird was seen	No bird was seen	It was definitely a magpie	An honest record can state what was seen and what remains unknown.
ac9s2i03-p-044	A tablet video shows a spinner falling. How could replaying it help?	Let children check the movement again	Make the spinner fall more slowly in real life	Change the original result	A video preserves visible details for another look.
ac9s2i03-p-045	Three equal scoops fill a small pot with sand. Which note records the amount?	Pot holds 3 scoops of sand	Pot is nice	Sand will fill every pot	The note includes the measured amount and the informal unit.
ac9s2i03-p-046	A magnifier shows tiny hairs on a leaf. What should the drawing include?	The hairs in the places they were seen	Hairs all over every leaf	Only the child's favourite colour	A scientific drawing records observed details.
ac9s2i03-p-047	A child cannot see the Moon because of clouds. What is an accurate note?	Cloudy: Moon not visible from here	The Moon has disappeared from space	The Moon is full today	The note records the viewing conditions without inventing a Moon shape.
ac9s2i03-p-048	A pebble sinks and a cork floats in a tub. What should be recorded for each object?	Its name and whether it floated or sank	Only the water colour	The same result for both objects	Matching an object with its observation keeps the record useful.
ac9s2i04-p-041	A picture graph uses one leaf picture for one leaf. There are four pictures beside oak. How many oak leaves were counted?	4	1	8	The key says that each picture represents one leaf.
ac9s2i04-p-042	A table lists sponge: bends; stone: does not bend; cloth: bends. Which two belong together by this rule?	Sponge and cloth	Stone and sponge	Stone and cloth	Sponge and cloth share the recorded bending property.
ac9s2i04-p-043	Seedling photos are labelled Day 6, Day 1 and Day 3. How should they be placed to show growth over time?	Day 1, Day 3, Day 6	Day 6, Day 3, Day 1	Day 3, Day 1, Day 6	Putting the dates in order shows the observed sequence.
ac9s2i04-p-044	A clear lid bends easily. One group is 'see-through' and another is 'bendy'. Where can the lid go?	In both groups	Only in neither group	Only in a group called stone	An object can have more than one recorded property.
ac9s2i04-p-045	A chart records Monday: wet; Tuesday: dry; Wednesday: dry. Which summary matches?	Two dry days and one wet day	Three wet days	One dry day and two wet days	Counting the labels gives two dry observations and one wet observation.
ac9s2i04-p-046	Three tested objects sank and two floated. How many results should appear on the chart?	5	3	2	Both groups together contain five observations.
ac9s2i04-p-047	A class sorts sounds by how they are made. Where does clapping belong?	Hitting surfaces together	Blowing through an opening	Plucking a string	Clapping makes sound when the hands strike each other.
ac9s2i04-p-048	A weather chart uses a circle for a sunny day. What should its key explain?	What the circle stands for	Who drew the neatest circle	Which day everyone liked	A key tells readers what a symbol means.
ac9s2i05-p-041	A child predicted a foil boat would hold four blocks. It held six before sinking. Did the prediction match?	No, it held two more than predicted	Yes, it held exactly four	No, it held two fewer	Six is two more than four, so the recorded amount differed from the prediction.
ac9s2i05-p-042	One group observes ants for one minute and another for ten minutes. Why might their counts differ?	They watched for different lengths of time	All ants have changed size	The notebooks caused the difference	More observation time can allow more visits to be counted.
ac9s2i05-p-043	Two groups test the same magnet. One uses steel clips; the other uses plastic clips. What should they compare first?	The clip materials	Their handwriting	Their shoe sizes	Different materials can explain different attraction results.
ac9s2i05-p-044	A class predicts a sponge will return to its shape after a squeeze. It springs back. What does this result show?	The observation matches the prediction	The sponge became a new material	The prediction was made too late	Springing back is the change the class predicted.
ac9s2i05-p-045	A seed investigation has no record for Friday. Can a class claim the seed grew that day?	No, Friday's growth was not recorded	Yes, it can copy Thursday's result	Yes, it can choose any height	Missing observations do not provide evidence for a claim about that day.
ac9s2i05-p-046	A child expected a smooth stone to float. It sank. What further question could be tested?	Do other smooth stones float or sink?	Is the stone unlucky?	Does the stone dislike swimming?	Testing other stones can explore whether smoothness predicts floating.
ac9s2i05-p-047	Children disagree about whether a rattle was louder with more seeds. What could help them check?	Repeat from the same listening place with the same shaking action	Ask who likes the rattle most	Move farther away for only one trial	Keeping the action and listening place similar makes the comparison clearer.
ac9s2i05-p-048	A group compared cloth drying times, but rain wet one sample again. What should their report mention?	Rain changed the conditions for one sample	Both samples had identical conditions	The slower result should be hidden	The extra rainwater could affect drying time and needs to be reported.
ac9s2i06-p-041	A photo shows a folded card bridge holding three blocks. Which caption fits?	Folded card bridge holding 3 blocks	All bridges hold 3 blocks	The best bridge ever	The caption names what the photograph actually shows.
ac9s2i06-p-042	A class writes instructions for a seed observation. Which opening step is clear?	Place one seed on the damp paper in the labelled dish	Do the seed thing	Make it work	The clear step tells the reader what to put where.
ac9s2i06-p-043	A video shows a leaf floating and a pebble sinking. Which spoken sentence fits?	The leaf stayed on top; the pebble went to the bottom	Both objects stayed on top	The pebble grew larger	The words describe the two visible outcomes.
ac9s2i06-p-044	A science poster says 'It bent.' The picture shows two strips. What should the writer add?	The name of the strip that bent	A larger border	A favourite number	Naming the strip removes uncertainty about the result.
ac9s2i06-p-045	A child reports, 'We heard four bird calls in one minute.' What useful detail does 'in one minute' add?	How long the child listened	How far away every bird was	How large the birds were	The time tells readers the length of the observation.
ac9s2i06-p-046	A partner cannot read the small labels on a rock drawing. What would help?	Write the labels larger and clearly	Erase the observed features	Add more tiny labels	Readable labels help someone else understand the drawing.
ac9s2i06-p-047	A class predicts five seeds will sprout, but only three do. Which report tells both facts?	We predicted 5 sprouts and counted 3	We counted 5 sprouts	We will not report the sprouts	Reporting both numbers makes the prediction and result clear.
ac9s2i06-p-048	A report uses the word 'flexible'. What could help a younger reader understand it?	Add 'able to bend easily'	Replace it with a longer word	Leave out the material being described	A short everyday meaning makes the science word easier to understand.
ac9s2u01-p-041	A sky chart marks a planet beside one star this week and farther from it later. What changed?	The planet's position compared with the stars	The planet became a star	The chart proves the stars vanished	Planets can change position against the background stars over time.
ac9s2u01-p-042	A time-lapse shows stars in different places above the same roof during one night. What pattern is being observed?	Stars appear to move across the sky	The roof travels through space alone	Stars become clouds after sunset	Repeated views from one place can show apparent star movement.
ac9s2u01-p-043	The Moon is visible in a blue afternoon sky. Is the observation possible?	Yes, the Moon can sometimes be seen in daylight	No, the Moon only exists at night	No, every daytime object is the Sun	The Moon can be above the horizon and visible during part of the day.
ac9s2u01-p-044	A horizon line is drawn on a sky record. What does it show?	Where the sky appears to meet the land	Earth's path around the Sun	The edge of the Sun	A horizon gives a reference for describing an object's sky position.
ac9s2u01-p-045	Two Moon photos were taken an hour apart from the same window. The Moon is higher in the second. What can be said?	Its apparent position changed during the hour	It must have grown larger	The window became a planet	The photos show a change in where the Moon appears in the sky.
ac9s2u01-p-046	A class watches a safe sky animation. A labelled point called Venus shifts among the stars over many nights. What is Venus?	A planet	A cloud	Earth's Moon	Venus is a planet whose position can be tracked against stars.
ac9s2u01-p-047	A rooftop is included in each night-sky drawing. Why is this useful?	It helps compare where sky objects appear	It makes the stars brighter	It stops the Moon moving	A fixed landmark helps compare positions between observations.
ac9s2u01-p-048	A planet is hidden behind a tree from one viewing spot. What is a sensible explanation?	The tree blocks the view from that spot	The planet has left the solar system	The tree has swallowed the planet	An object can be present even when something blocks our view.
ac9s2u02-p-041	A teacher plays a speaker beside a paper sheet without touching it. The sheet trembles. What can this show?	Sound energy can make another object vibrate	The paper has become a speaker	Sound can only stay inside the speaker	Sound can travel from a source and cause another object to vibrate.
ac9s2u02-p-042	In a cup-and-string telephone, speech can be heard at the other cup. What carries vibrations between the cups?	The stretched string	The colour of the cups	The printed letters on the cups	A stretched string can carry vibrations from one cup to the other.
ac9s2u02-p-043	A class hears a recording made by an underwater microphone. What does it show?	Sound can travel through water	Sound exists only in dry air	Water prevents all vibration	Underwater sound recordings show that water can carry sound.
ac9s2u02-p-044	A child taps two xylophone bars and hears different notes. What should they compare?	How high or low each note sounds	How warm their shoes feel	The length of the tune's name	Different bars can produce notes with different pitches.
ac9s2u02-p-045	A comb makes a buzzing sound when its teeth are gently flicked. Which part vibrates?	The comb's teeth	Only the label on the desk	The comb's colour	Flicking makes the teeth move back and forth and produce sound.
ac9s2u02-p-046	A singer makes a low note and then a high note at a similar loudness. What changed?	The pitch	Only the volume	The room size	High and low notes have different pitches even at similar loudness.
ac9s2u02-p-047	A teacher rubs two rough wooden blocks together. What action makes the scraping sound?	Rubbing surfaces together	Plucking a string	Blowing through a tube	Rubbing rough surfaces can start vibrations that make a scraping sound.
ac9s2u02-p-048	A paper strip buzzes when air is blown past it. What should children look for?	The strip moving back and forth	The strip changing into glass	The strip becoming a star	The moving strip provides evidence of vibration making sound.
ac9s2u03-p-041	A strip of wool is pulled gently but does not get noticeably longer. What was observed?	It did not stretch much in this test	It changed into metal	Pulling always doubles length	Some materials stretch little under a gentle pull.
ac9s2u03-p-042	A clay tile has a hole pressed through it. What changed?	Its shape, with an opening added	Its material became wood	It became a liquid	Making an opening changes the shape while the clay remains clay.
ac9s2u03-p-043	A cardboard box is opened along its folds and laid flat. What stayed the same?	It is still cardboard	It still has the same box shape	It is now made of cloth	Unfolding changes the form but not the material.
ac9s2u03-p-044	A paper strip is twisted, while another is bent into an arch. What is different?	The actions used to change their shapes	The paper has become two new materials	Only one strip is still paper	Twisting and bending change shape in different ways.
ac9s2u03-p-045	A soft ball of dough is divided equally into four pieces. What can be observed?	Four smaller pieces of the same dough	Four different materials	No dough remains	Dividing changes the number and size of pieces, not what they are made from.
ac9s2u03-p-046	A craft maker twists plant fibres into cord. What is the purpose of the twisting?	To join and shape fibres into a useful cord	To turn fibres into metal	To make the fibres disappear	Twisting can change the arrangement of fibres for a useful purpose.
ac9s2u03-p-047	A paper strip tears when pulled, but a fabric strip stays whole. What does this show?	Materials can respond differently to a pull	Every pull changes the material type	Paper cannot change shape	The same kind of action can have different effects on materials.
ac9s2u03-p-048	A sculptor adds dents to clay using a blunt tool. What evidence shows the physical change?	The surface has new hollows	The clay has become plastic	The clay is now a star	Dents change the surface shape while the material remains clay.
ac9s2h01-t-012	A family records both school-route travel times on several days. Why use several days?	To see whether a pattern repeats	To make both routes the same length	To guarantee traffic never changes	Several days of records help show whether a travel-time pattern repeats.
ac9s2i01-p-033	One plant has broad leaves and another has narrow leaves. What could the class compare?	The widths of the leaves	Which plant is luckiest	Which plant has the nicest name	Leaf width is an observable feature that can be compared.
ac9s2i01-t-003	Birds visit a tree at breakfast and lunch. Which question could a class test by counting?	Are there more bird visits at breakfast or lunch?	Which bird is the prettiest?	Do birds enjoy clocks?	Bird visits can be counted for equal observation times and compared.
ac9s2i01-t-009	A class gives similar seedlings different amounts of water. Which prediction fits this question?	Seedlings given some water may grow more than those given none	Every seedling will grow fastest with unlimited water	Watering will turn seedlings into soil	The prediction gives a possible growth difference that can be checked.
ac9s2i01-t-013	A student calls a statement a prediction after seeing the test result. What is the problem?	A prediction should say what may happen before testing	Results should be changed to match predictions	Tests must never have results	A prediction is made before the outcome is known.
ac9s2i01-t-014	A plant leans towards a window. The pot is turned around. What might new growth do?	Bend towards the light again	Turn the window around	Change into a lamp	The first observation supports a prediction about new growth towards light.
ac9s2i02-p-015	A sharp edge could cut a hand. What is the risk of using it?	Someone could be cut	It must make a loud sound	It will change the date	A risk concerns possible harm; a sharp edge can cause a cut.
ac9s2i02-t-014	One group measures water in large cupfuls and another uses small cupfuls. Why are their counts hard to compare?	Their cupfuls hold different amounts	All cups hold equal amounts	Counting changes the water	Informal measures must use the same-sized unit for direct comparison.
ac9s2i03-t-014	A child writes 'a few seeds' after counting exactly eight. Which record is clearer?	8 seeds	Nice seeds	Lots of things	The exact count reports how many seeds were observed.
ac9s2i04-t-010	A child changes a tally just to match another group. Why is that wrong?	The tally no longer shows what the child observed	Every group must get the same count	Tallies should show predictions	A tally should record actual observations, even when groups differ.
ac9s2i05-p-034	A class predicts dark cloth will warm faster. Both cloths start at the same temperature and have equal readings at each check. What do the readings show?	This test did not support the prediction	The dark cloth definitely warmed faster	The readings must be erased	Equal readings at the same times do not show faster warming of the dark cloth.
ac9s2i05-t-002	A class predicts a long-bladed paper spinner will fall more slowly. It takes 4 seconds; the short-bladed one takes 2 seconds from the same height. What happened?	The long-bladed spinner took longer in this test	Both spinners took the same time	The long-bladed spinner landed first	Four seconds is longer than two seconds, supporting the prediction in this test.
ac9s2i06-p-030	Cloth absorbed 8 drops and foil absorbed none. Which conclusion matches the result?	The cloth absorbed more drops in this test	The foil absorbed more drops	The two materials absorbed equally	The conclusion compares the recorded amounts.
ac9s2i06-t-003	A group's third trial differs from the first two. Which sentence clearly reports this?	Trial 3 was different, so we will check our method	We changed Trial 3 to match	We deleted Trial 3 because it was different	The sentence reports the difference honestly and states a useful next step.
ac9s2i06-t-010	Children predicted 10 bird visits but counted 7. Which sentence tells the difference clearly?	We counted 3 fewer visits than we predicted	We counted 10 because we wanted 10	We will leave out the count	Seven is three fewer than ten, so the sentence compares the prediction and result.
ac9s2i06-t-016	A class shares a table, a labelled drawing and a short conclusion. How do these help the reader?	They show the evidence and explain the finding	They guarantee the prediction was right	They make all future tests unnecessary	Different forms can work together to communicate the observations and finding.
ac9s2u01-p-003	Which rocky object naturally travels around Earth?	The Moon	The Sun	A cloud	The Moon is Earth's natural satellite: it travels around Earth.
ac9s2u01-p-028	A child watches the Moon as thin clouds pass. Its outline is hidden briefly, then visible again. What happened?	Clouds moved across the view of the Moon	The Moon became a cloud	The Moon changed into water	A cloud can block the view without changing the Moon itself.
ac9s2u01-t-009	Which safe record could show a daily sky pattern?	Shadow drawings labelled with the observation times	A list of favourite planets	An indoor sound recording	Timed shadow observations can show changes linked to the Sun's apparent position.
ac9s2u01-t-016	A child says the stars are gone during the day. Which explanation is better?	Most are hidden by the bright daytime sky	They disappear from space each morning	They all become clouds	Most stars are too faint to see against the bright daytime sky.
ac9s2u02-p-018	Rice grains rest on a drum skin. They jump when the drum is tapped. What moves them?	The vibrating drum skin	The drum's colour	The air becoming solid	The vibrating skin pushes the grains, making the movement visible.
ac9s2u02-t-009	A drum is tapped gently and then more strongly at a safe volume. The second sound is louder. What does this suggest?	A stronger tap can make a larger vibration and a louder sound	Loudness is unrelated to vibration	The drum has become a new material	A stronger tap can make the drum skin move more and produce a louder sound.
ac9s2u03-t-014	A cardboard tube is squashed flat. What changed?	The tube is flatter than before	The cardboard became glass	The colour must have changed	Squashing changes the shape of the tube while it remains cardboard.
ac9s2u03-t-015	How can children compare how easily two materials bend?	Use equal-sized strips and the same gentle bending action	Choose the brightest strip without testing	Use different sizes and pushes without recording	Keeping size and action similar makes the bending comparison clearer.
ac9s2u01-p-033	A sky guide labels Jupiter as a planet. What group does Earth also belong to?	Planets in the solar system	Clouds above a town	Stars that make daylight	Earth and Jupiter are planets in our solar system.
ac9s2u01-p-034	A class records a shadow at breakfast, lunch and afternoon tea. Which record keeps the observations in order?	Breakfast, lunch, afternoon tea	Lunch, afternoon tea, breakfast	Afternoon tea, breakfast, lunch	Ordering observations by time helps show the daily change.
ac9s2u01-p-035	A Moon photo is taken beside a hilltop. Another photo shows it farther above the same hill. What does the hill help compare?	The Moon's apparent height in the sky	The Moon's material	The Moon's exact distance from Earth	A fixed landmark helps describe changes in apparent sky position.
ac9s2u01-p-036	A cloudy morning leaves no clear pole shadow. What should the class record?	No clear shadow could be measured	The pole had no length	The Sun no longer exists	Clouds can make shadows faint, so the observation should state the limitation.
ac9s2u01-p-037	A star chart shows the same star group above different landmarks through the night. Which feature stayed recognisable?	The pattern of stars in the group	The group's place above the land	The colour of every cloud	A star group's pattern can remain recognisable while its position appears to change.
ac9s2u01-p-038	Earth, the Moon and the Sun are drawn as equal circles. What must the teacher explain?	Their real sizes are not equal	They are all planets	They are all made of paper	A drawing can label objects without showing their true relative sizes.
ac9s2u01-p-039	A child sees one bright point above a tree. Can brightness alone tell whether it is a planet or a star?	No, more information is needed	Yes, every bright point is a planet	Yes, every bright point is a star	Both planets and stars can look like bright points in the sky.
ac9s2u01-p-040	An evening sky record says 'Moon not seen'. What can the record tell us?	The observer did not see the Moon then	The Moon was destroyed	The Moon cannot appear on another evening	Not seeing an object is different from proving it is no longer there.
ac9s2u02-p-033	A metal lid rings when tapped but sounds dull when resting on a thick pad. What does the pad do?	It reduces the lid's vibration	It changes the lid into cloth	It creates a higher note every time	A soft pad can reduce movement and shorten the ringing sound.
ac9s2u02-p-034	A tambourine is shaken and its small metal discs move. What helps make the jingling sound?	The discs hit each other and vibrate	The paint changes colour	The handle grows longer	Colliding metal discs vibrate and produce the jingle.
ac9s2u02-p-035	A teacher gently taps a desk while a child listens through the desk surface. What can carry the sound?	The solid desk	Only empty space	Only sunlight	Solids can carry vibrations from one place to another.
ac9s2u02-p-036	A sealed shaker contains dry beans. It is tilted slowly, then shaken gently. Why can the sounds differ?	The beans hit the container differently	The beans turn into metal	The container changes colour	Changing the action changes the collisions and the sound.
ac9s2u02-p-037	A rubber band is held tightly so it cannot move after plucking. What is likely?	Its sound becomes shorter	It keeps ringing louder forever	It produces a new tune by itself	Stopping the movement reduces the sound-producing vibration.
ac9s2u02-p-038	A child scrunches a sheet of paper, then leaves it still. When is rustling most likely?	While the paper is being scrunched	Only after it has been still for an hour	Before the paper is touched	Scrunching makes parts move and vibrate, producing rustling sounds.
ac9s2u02-p-039	Two recordings play the same note, one softly and one loudly. What difference should be recorded?	Loudness	The note's colour	A change from high to low pitch	The same note can be played at different volumes.
ac9s2u02-p-040	A flute and a drum are played at a comfortable volume. Which action matches the flute?	Blowing air	Stretching the whole instrument	Shaking seeds inside it	Blowing starts vibrations in the flute's air to make sound.
ac9s2u03-p-033	A sheet of foil is pressed around a toy to copy its outline. What makes foil useful here?	It can be reshaped	It turns into the toy's material	It cannot bend	Foil can keep a changed shape while remaining foil.
ac9s2u03-p-034	A dough ring is pulled until it becomes a longer oval. What happened to its shape?	It became longer in the pulling direction	It became a different material	It did not change at all	Pulling can stretch and reshape soft dough.
ac9s2u03-p-035	A child cuts a circle from card. What are the circle and leftover sheet made from?	The same card	Two new materials	Liquid paper	Cutting changes the pieces' shapes but they remain card.
ac9s2u03-p-036	A thin strip is bent into a hook to hang a decoration. Why bend the strip?	To make a shape suited to the job	To remove all its material	To make it a new substance	Changing shape can make a material useful for a particular purpose.
ac9s2u03-p-037	A dry twig snaps while a soft stem bends under a gentle push. What differs?	How the materials respond to the push	Whether either object has a shape	Whether the child can see them	Some materials break while others bend under a similar action.
ac9s2u03-p-038	A flat clay piece is curled into a bowl with raised sides. Which change helps it hold beads?	Its new bowl shape	Its new metal material	Its new colour alone	Reshaping clay into a bowl creates sides that can hold objects.
ac9s2u03-p-039	A sponge is compressed under a small block. It becomes tall again when the block is removed. What does this show?	The shape change can be mostly undone	The sponge became a new substance	The sponge never changed shape	Some materials spring back when a pushing force is removed.
ac9s2u03-p-040	A long paper chain is cut between two links. What changed?	There are now two shorter chains	The paper became metal	All the links disappeared	Cutting changes the arrangement and length, while the links remain paper.
ac9s2u02-t-006	A triangle is held by its loop, then gripped by its metal side. It rings less when gripped. Why?	The hand reduces the metal's vibration	The loop makes its own music	The metal becomes a new material	Holding the vibrating metal reduces its movement and shortens the ringing sound.
