"skill_code","skill_title","bank","question_id","question","options","correct_answer","explanation"
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-021","A cloth strip twisted easily, but a thick card strip did not. Write or say one question about this difference that the class could investigate.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","Example: Does the type of strip affect how easily it twists?","Adult check: accept a clear, observable question linking the material or thickness of the strips to twisting. Do not require this exact wording."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-022","A post's shadow was long early in the morning and shorter near midday on several days. Predict its length near midday tomorrow and give a reason.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","It will probably be shorter near midday because that happened on the previous days.","Adult check: accept a likely shorter shadow near midday linked to the supplied repeated observations. The child need not claim certainty."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-023","Earlier gentle plucks of a band made soft sounds. Write or say a question about plucking strength, then predict what a firmer pluck might do and explain why.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","Does plucking harder change loudness? A firmer pluck may sound louder because gentle plucks sounded soft.","Adult check: require an investigable question about plucking strength and sound, plus a reasoned prediction. Accept other plausible predictions tied to stated experience; check the reasoning, not whether a future test agrees."
"AC9S2I01","questions and reasoned predictions","practice","ac9s2i01-p-024","Choose a familiar material you have bent, stretched or squashed. Say what happened before, then predict what will happen if you repeat that action gently.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","Example: My sponge squashed and sprang back before. I predict it will spring back after another gentle squeeze.","Adult check: accept a relevant past observation and a connected prediction about repeating the action. A real example is required; assess the evidence link rather than exact wording."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-001","A thin card strip bends easily, while a thicker strip of the same card is harder to bend. Which question explores the difference?","A. Which card is the most attractive? | B. Who cut the strips? | C. Does thickness affect how easily card bends?","C. Does thickness affect how easily card bends?","The question links the observed bending difference with thickness."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-002","On several afternoons, the same tree's shadow reached the fence. Which prediction fits another similar clear afternoon?","A. Its shadow may reach the fence again. | B. Its shadow will never reach the fence again. | C. Every tree's shadow must reach that fence.","A. Its shadow may reach the fence again.","The repeated observation supports a prediction about this tree in similar conditions."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-003","A child expects clay to flatten under a gentle press. Which reason uses experience?","A. The same clay flattened when pressed before. | B. Flat shapes are the child's favourite. | C. The child wants the answer to be flatten.","A. The same clay flattened when pressed before.","An earlier response of the same clay is relevant evidence."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-004","A leaf rubs noisily against rough card but quietly against smooth card. Which question follows?","A. Which leaf looks most cheerful? | B. Does the rubbing surface affect the sound? | C. Whose card has the nicest colour?","B. Does the rubbing surface affect the sound?","The question explores a relationship between surface and sound."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-005","Which sentence belongs in a prediction box before a test?","A. The longer ribbon may twist more times before becoming tight. | B. The longer ribbon twisted four times in our test. | C. We wrote four twists in the results table.","A. The longer ribbon may twist more times before becoming tight.","Only the first sentence proposes a future result."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-006","Two similar puddles shrink at different speeds in sun and shade. Which question could guide an investigation?","A. Which puddle has the best outline? | B. Does sunlight affect how quickly these puddles shrink? | C. Who enjoys jumping in puddles?","B. Does sunlight affect how quickly these puddles shrink?","The question links the observed difference in shrinking with sunlight."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-007","A child asks, 'What happens to things?' Which question is clearer?","A. Why are all things different? | B. Which thing is best? | C. What happens to a sponge's shape when it is squeezed?","C. What happens to a sponge's shape when it is squeezed?","The clear question names the object, action and feature to observe."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-008","Every gentle tap in a bell test made a short sound. Which prediction is best supported?","A. The bell can never make any other sound. | B. The bell will certainly ring all day. | C. Another similar tap may make a short sound.","C. Another similar tap may make a short sound.","The evidence supports a likely result for a similar action, not an unlimited claim."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-009","A class notices a plant leaning towards a window. Which question explores the relationship?","A. Does the direction of the light affect how it grows? | B. Does the plant have a nice name? | C. Which child likes the window most?","A. Does the direction of the light affect how it grows?","The question connects growth direction with the direction of light."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-010","A child predicts new paper will absorb water like paper tested earlier. Which information would make the prediction stronger?","A. The papers have names of the same length. | B. The papers were carried by the same person. | C. The papers are the same kind and thickness.","C. The papers are the same kind and thickness.","Matching relevant material features makes the previous result more useful."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-011","A toy car rolled farther after a firm push than after a gentle push. Which question explores the action and result?","A. Does push strength affect how far the car moves? | B. Which car colour is most popular? | C. Is this the best toy in the room?","A. Does push strength affect how far the car moves?","The question connects the strength of the push with the car's movement."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-012","Three sky records show the same star group above different parts of a shed as the night passes. What might happen in another later record?","A. The group must remain in its first recorded place. | B. The shed must disappear. | C. The group may appear above a different part of the shed again.","C. The group may appear above a different part of the shed again.","The records support further apparent movement compared with the fixed shed."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-013","A child predicts a new cloth will dry quickly because it feels thin. Which experience would best support that reason?","A. The cloth came from a large shop. | B. Similar thin cloth dried quickly in earlier tests. | C. The child likes thin cloth.","B. Similar thin cloth dried quickly in earlier tests.","Previous drying observations of similar cloth provide relevant support."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-014","A class wants to ask about sound travelling through materials. Which question could be checked with teacher-approved equipment?","A. Which sound does everyone in the world prefer? | B. Can a tapping sound be heard through a taut string? | C. Is sound the nicest kind of energy?","B. Can a tapping sound be heard through a taut string?","The first question has an observable outcome in a simple guided investigation."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-015","A ribbon twists easily, while a stiff strip resists twisting. Pose a question about these observations, then predict what might happen if each is twisted gently again. Give a reason.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","Example: Does the strip material affect twisting? I predict the ribbon will twist more easily again because it did before.","Adult check: require a testable question linking a feature to twisting, a prediction and a reason based on the supplied observations. Accept equivalent wording."
"AC9S2I01","questions and reasoned predictions","test","ac9s2i01-t-016","In earlier trials, a damp paper strip tore more easily than a dry strip of the same paper. Write or say a prediction for another pair and explain the evidence you used.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","The damp strip will probably tear more easily because it did in earlier trials.","Adult check: accept a prediction consistent with the repeated comparison and an explicit evidence link. A prediction is not a guarantee."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-001","The class will compare sounds from a drum and a shaker. What should happen before anyone starts playing?","A. Have everyone play as loudly as possible. | B. Listen to the instructions and agree on a quiet playing level. | C. Begin while the teacher explains the steps.","B. Listen to the instructions and agree on a quiet playing level.","Instructions and a suitable sound level help the class investigate safely."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-002","A child is unsure how far to stretch a band in a sound test. What should they do?","A. Stop and ask the teacher to demonstrate. | B. Keep pulling until the band breaks. | C. Aim it at a partner to see its movement.","A. Stop and ask the teacher to demonstrate.","Checking the safe method avoids snapping the band or injuring someone."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-003","A group will compare how paper and cloth soak up water. Which setup is suitable?","A. Full cups of water beside an electrical socket. | B. Samples placed where people are walking. | C. Small water amounts in a tray on a clear table.","C. Small water amounts in a tray on a clear table.","A tray and clear workspace help contain spills and keep the investigation safe."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-004","A procedure says: 'Place the drum on a stable surface. Tap gently. Observe.' Which order follows it?","A. tap while carrying it, then set it down | B. observe the silent drum, then leave | C. set it down securely, tap, observe","C. set it down securely, tap, observe","The steps prepare the equipment before the action and observation."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-005","A plastic cup cracks during a water test. What should the child do next?","A. Keep squeezing the cup to finish quickly. | B. Stop and tell the teacher before handling the damaged cup. | C. Hide the crack under a hand.","B. Stop and tell the teacher before handling the damaged cup.","Stopping and reporting damaged equipment prevents further risk."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-006","A child wants to test whether a toy car rolls farther from a higher ramp. Which method is suitable?","A. Send the car down a stairway towards people. | B. Use a small stable ramp on the floor with a clear run-out space. | C. Balance the ramp on an unsteady stack at head height.","B. Use a small stable ramp on the floor with a clear run-out space.","A stable, low ramp and clear space allow a safer movement test."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-007","During a shadow investigation, which procedure avoids looking directly at the Sun?","A. Mark a fixed object's shadow on the ground at agreed times. | B. Stare at the Sun to judge its exact shape. | C. Point ordinary binoculars towards the Sun.","A. Mark a fixed object's shadow on the ground at agreed times.","Shadows let the class investigate changes associated with the Sun safely."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-008","A plan says to test how a clay rope responds to bending. Which action answers that question?","A. Bend the rope gently and look for a curve or crack. | B. Leave the rope untouched and name its colour. | C. Cut it into pieces before trying to bend it.","A. Bend the rope gently and look for a curve or crack.","The planned action must test the question about bending."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-009","A group predicts a firmer drum tap will sound louder. Which procedure tests that prediction?","A. Compare two drawings of the drum. | B. Compare a gentle tap and a slightly firmer tap at safe levels. | C. Ask which child likes drums most.","B. Compare a gentle tap and a slightly firmer tap at safe levels.","Comparing the two tap strengths lets the group check the sound prediction."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-010","A teacher supplies rounded scissors for cutting paper samples. How should they be passed?","A. open, with the blades pointing towards the other person | B. closed, with the handles offered to the other person | C. thrown gently across the table","B. closed, with the handles offered to the other person","Passing closed scissors by the handles reduces the chance of a cut."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-011","A child spills water on the floor during an investigation. What should happen before work continues?","A. Step over it and leave it for another group. | B. Cover it with loose paper and keep walking over it. | C. Tell the teacher and have the spill dealt with safely.","C. Tell the teacher and have the spill dealt with safely.","Spilled water can cause slips and should be dealt with before continuing."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-012","A class will compare the feel of teacher-approved fabric samples. Which sense is useful and appropriate?","A. touch with clean hands | B. taste each sample | C. hold each sample against an eye","A. touch with clean hands","Touch can provide texture observations; tasting or putting materials near eyes is unnecessary."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-013","A group needs to compare a band before and after gentle stretching. Which step is missing: 'Look at the band. ___ . Look again'?","A. Put it away without stretching. | B. Replace it with a different band. | C. Gently stretch it as the teacher showed.","C. Gently stretch it as the teacher showed.","The missing action produces the change the group is investigating."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-014","A pupil wants to see if a ruler's overhang vibrates when flicked. What setup should the teacher check first?","A. The ruler is loose on the edge of a crowded table. | B. The pupil is holding the moving end near a face. | C. The ruler is held securely and the moving end has clear space.","C. The ruler is held securely and the moving end has clear space.","Secure equipment and a clear moving area help prevent the ruler slipping or striking someone."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-015","A group plans to observe small animals outdoors. Which procedure is suitable?","A. Observe them where they are and avoid disturbing their homes. | B. Pull apart every nest to see inside. | C. Keep all the animals in a closed jar.","A. Observe them where they are and avoid disturbing their homes.","An observation investigation should avoid harming animals or their homes."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-016","Two children are following a sound test together. What arrangement helps both follow the steps?","A. Both change the equipment at the same time without speaking. | B. One skips the instructions while the other guesses the next step. | C. One makes the sound while the other observes, then they swap.","C. One makes the sound while the other observes, then they swap.","Clear roles help a group carry out and observe the planned actions."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-017","The instruction says to put three small spoonfuls of water on a sample. The child has added two. What comes next?","A. Add one more small spoonful. | B. Empty the whole jug onto it. | C. Write the result without completing the step.","A. Add one more small spoonful.","Adding one more spoonful completes the specified three."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-018","A prediction says cloth will twist more easily than card. Which materials and action are needed?","A. two stones, each tapped on a table | B. a cloth picture and a list of colours | C. a cloth strip and a card strip, each twisted gently","C. a cloth strip and a card strip, each twisted gently","The procedure needs the two named materials and the action in the prediction."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-019","A test has ended, but string and tools cover the table. What should the group do?","A. Leave the equipment where the next group could trip over it. | B. Follow the teacher's cleanup and storage instructions. | C. Put wet materials into any electrical equipment box.","B. Follow the teacher's cleanup and storage instructions.","Safe procedures include cleanup and correct storage."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-020","A teacher's demonstration uses cool water. A pupil suggests using very hot water to speed things up. What should the group do?","A. Make the change without telling anyone. | B. Keep to the approved cool-water method and ask before changing it. | C. Let the youngest pupil carry the hot water.","B. Keep to the approved cool-water method and ask before changing it.","Changing materials can change the risks; pupils should follow the approved method."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-021","Plan three steps to compare the sounds of a paper sheet rubbed and gently crumpled. Include one way to keep the activity safe and comfortable.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","Example: Clear the table and agree on gentle actions. Rub the paper and listen. Gently crumple it and compare the sounds.","Adult check: accept an ordered plan that includes both actions and listening, with an appropriate precaution such as keeping paper away from faces and using gentle actions."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-022","With an adult, investigate whether a sponge changes shape when gently squeezed. First explain your steps, then follow them: look, squeeze gently, release and look again.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","The child explains and follows the sequence, uses an adult-approved sponge, keeps it away from the face and leaves the area tidy.","Adult check: assess the child's safe procedure and order of actions, not a memorised result. Confirm that the child actually follows the sequence; reading it alone is insufficient."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-023","A class predicts a paper strip will bend into an arch. Suggest a safe method to test this using a teacher-provided strip. Tell the adult what to watch for.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","Example: Clear a space, hold the strip with both hands, bend it gently into an arch and observe whether it curves or tears.","Adult check: require steps that test bending, an observable result and sensible gentle handling. No sharp tools or extra force are needed."
"AC9S2I02","safe and fair investigation planning","practice","ac9s2i02-p-024","Follow this adult-supervised test with a clean paper sheet: place it flat, fold it in half, open it and check for a crease. Say when you are ready for each next step.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","The child carries out all four steps in order, handles the paper safely and pauses to observe after opening it.","Adult check: mark demonstrated following of the safe procedure. The child should not skip directly to a guessed result; verbal reminders are acceptable in practice."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-001","A class is ready to shake sealed containers of beads. Which preparation matters most?","A. Check that each lid is secure and the teacher approves the setup. | B. Open every lid while shaking. | C. Stand close to a partner's face.","A. Check that each lid is secure and the teacher approves the setup.","Secure lids help prevent loose beads spilling during the sound test."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-002","A procedure tests whether foil keeps a folded shape. Which order is suitable?","A. look at the foil, fold it gently, release it, observe | B. fold it, throw it away, then try to observe it | C. observe a picture, then record an untested result","A. look at the foil, fold it gently, release it, observe","The sequence lets the child compare the foil before and after the action."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-003","A group wants to compare sounds from tapping wood and metal. Which action should the teacher approve?","A. Hard strikes beside a partner's ear. | B. Gentle taps with a suitable beater, away from ears. | C. Throwing the objects together across the room.","B. Gentle taps with a suitable beater, away from ears.","Controlled, gentle taps let the class compare sounds at a suitable level."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-004","During a clay activity, a child finds an unknown powder on the table. What should they do?","A. Taste a little to identify it. | B. Blow it towards another group. | C. Leave it alone and tell the teacher.","C. Leave it alone and tell the teacher.","The child should not investigate an unknown substance by tasting or spreading it."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-005","A group predicts a string becomes tighter when its ends move apart. Which plan tests this?","A. Change the string's label and observe the label. | B. Move the ends apart gently as shown and observe the string. | C. Ask classmates which string is prettiest.","B. Move the ends apart gently as shown and observe the string.","The action must address the predicted relationship between end positions and tightness."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-006","A toy rolls beyond the marked investigation area towards a walkway. What should the group do?","A. Keep rolling more toys into the walkway. | B. Pause the test and ask the teacher to help reset a safe area. | C. Run between people to chase every toy.","B. Pause the test and ask the teacher to help reset a safe area.","A test should pause when objects leave the planned safe space."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-007","The plan says to compare a dry fabric sample with a damp one. Which step must occur before the comparison?","A. Soak both samples without checking the plan. | B. Pack away both samples. | C. Prepare one damp sample and keep the other dry.","C. Prepare one damp sample and keep the other dry.","The samples must match the conditions named in the investigation."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-008","A pupil cannot hear a gentle shaker clearly. Which response is suitable?","A. Shake it right beside another person's ear. | B. Keep increasing the noise without asking. | C. Ask the group to be quiet and listen again at the approved level.","C. Ask the group to be quiet and listen again at the approved level.","Reducing background noise helps listening without making the sound unsafe."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-009","A water test needs a clear, dry table. A tablet and loose books are in the splash area. What comes first?","A. Pour the water before moving anything. | B. Cover the tablet's screen with a wet cloth. | C. Move the tablet and books to a safe dry place.","C. Move the tablet and books to a safe dry place.","Preparing the workspace helps protect people, records and equipment."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-010","A class observes clouds from the school grounds. Which rule belongs in the procedure?","A. Walk into the road for a wider view. | B. Stay in the agreed area with the supervising adult. | C. Look directly at the Sun when a cloud moves away.","B. Stay in the agreed area with the supervising adult.","A defined supervised observation area avoids unnecessary risks."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-011","A procedure says: 'Bend the strip gently. Stop if it starts to split.' A split appears. What should happen?","A. Stop bending and show the teacher. | B. Pull harder to make the split larger. | C. Hide the split and repeat with more force.","A. Stop bending and show the teacher.","Following the stopping instruction is part of the safe procedure."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-012","To test whether a cup leaks, which method gives a direct observation safely?","A. Hold it above a power board while filling it. | B. Use a small amount of cool water over a tray. | C. Guess from its colour without adding water.","B. Use a small amount of cool water over a tray.","A small controlled test over a tray allows leaks to be observed safely."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-013","A child misses the middle step of a demonstrated investigation. What is the best next action?","A. Ask for that step to be explained before continuing. | B. Invent a new step using different equipment. | C. Copy another group's result without doing the test.","A. Ask for that step to be explained before continuing.","Clarifying the procedure helps the child follow it safely and meaningfully."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-014","A test compares a gentle bend and a gentle twist of two paper strips. Which plan includes both required actions?","A. Bend one strip, twist the other, then observe both. | B. Cut both strips into pieces and observe them. | C. Fold both strips once and put them away.","A. Bend one strip, twist the other, then observe both.","The procedure must include the two actions named in the question."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-015","Suggest an ordered, safe procedure to test whether a paper towel absorbs a small spoonful of cool water. Include what to observe and how to leave the area safe.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","Example: Put the towel in a tray, add one small spoonful of cool water, watch whether it soaks in, then clean and dry the area with adult guidance.","Adult check: require a workable sequence, an observation that answers the absorption question, and spill control or cleanup. Equivalent safe methods are acceptable."
"AC9S2I02","safe and fair investigation planning","test","ac9s2i02-t-016","With an adult and a clean sheet of paper, test whether gentle crumpling changes its shape. Explain a short safe plan, carry it out and show the result.","Adult review — spoken, written or practical response; see explanation for acceptance criteria.","The child checks the workspace, observes the flat paper, crumples it gently away from faces, then shows and describes its changed shape.","Adult check: require both a suitable plan and safe performance. Assess the procedure, including observing before and after. Do not award completion for merely choosing or reciting an answer."
"AC9S2I03","observing, measuring and recording","practice","ac9s2i03-p-001","A child sees two holes in a leaf. Which note records the observation?","A. The leaf has two holes. | B. An insect definitely made the holes. | C. The leaf is the best one in the garden.","A. The leaf has two holes.","The number of visible holes is an observation; their cause would need more evidence."
"AC9S2I03","observing, measuring and recording","practice","ac9s2i03-p-002","A shadow reaches across six equal blocks placed end to end. Which record is complete?","A. Shadow length: 6 blocks. | B. Shadow length: 6. | C. Shadow length: very good.","A. Shadow length: 6 blocks.","A useful measurement states both the number and the unit used."
"AC9S2I03","observing, measuring and recording","practice","ac9s2i03-p-003","How should equal cubes be placed to measure a small clay rope's length?","A. in a pile beside the rope | B. end to end from one end of the rope, with no gaps | C. with large spaces between them","B. end to end from one end of the rope, with no gaps","Units should cover the length continuously so the count represents the length."
"AC9S2I03","observing, measuring and recording","practice","ac9s2i03-p-004","A child uses some small and some large blocks to measure two strips. What would improve the measurements?","A. Choose a different block size for every count. | B. Use the same-sized blocks for both strips. | C. Leave out the unit names.","B. Use the same-sized blocks for both strips.","Consistent units allow the recorded lengths to be compared meaningfully."
"AC9S2I03","observing, measuring and recording","practice","ac9s2i03-p-005","A drum makes a low, soft sound. Which note records both features?","A. low and soft | B. high and loud | C. soft, so it must be high","A. low and soft","Pitch and loudness are separate observed features; both can be recorded."
"AC9S2I03","observing, measuring and recording","practice","ac9s2i03-p-006","A child wants to keep a record of a shaker's sound. Which tool is most suitable?","A. a still camera alone | B. a torch | C. an audio recorder","C. an audio recorder","An audio recording preserves a sound for listening again."
"AC9S2I03","observing, measuring and recording","practice","ac9s2i03-p-007","A band changes shape quickly when released. Which tool could record its movement for replay?","A. a still photograph of the band before release | B. a video camera | C. a list of band colours","B. a video camera","Video records movement over time and can be replayed."
