"skill_code","skill_title","bank","row_type","question_id","current_question","current_options","current_correct_answer","current_explanation","suggested_replacement_question","suggested_replacement_options","suggested_correct_answer","notes"
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-012","On the number steps, the countdown is 37, 34, 31, __. What comes next?","A. 29 | B. 34 | C. 28","28","The pattern takes away 3 each time, so 28 comes next. Hint: Check how much each number decreases.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-013","On the number steps, which pattern adds 3 every time?","A. 7, 10, 13 | B. 7, 10, 14 | C. 7, 4, 1","7, 10, 13","Only 7, 10, 13 has the same +3 jump each time. Hint: Check both jumps in every choice.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-014","On the number steps, a pattern starts at 8 and adds 3. Which number is the third term?","A. 11 | B. 14 | C. 17","14","The terms are 8, 11, 14. Hint: The starting number is the first term. Add 3 twice.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-015","On the number steps, which number does not belong in 7, 10, 14, 16?","A. 10 | B. 16 | C. 14","14","14 breaks the add-3 rule. It should be 13. Hint: Predict each term using the rule.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-016","On the number steps, the shape pattern has 3, 5, 7 dots. It grows by the same amount. How many dots come next?","A. 9 | B. 8 | C. 10","9","The number of dots grows by 2, so 9 dots come next. Hint: Count how many new dots are added each time.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-017","With the shell cards, the shell pattern is 11, 15, 19, __. What comes next?","A. 19 | B. 23 | C. 27","23","The pattern adds 4 each time, so the next number is 23. Hint: Check the jump between each pair of numbers.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-018","With the shell cards, what number is missing? 11, __, 19, 23.","A. 14 | B. 19 | C. 15","15","Every number increases by 4. The missing number is 15. Hint: Start at 11 and add 4.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-019","With the shell cards, what is the rule for 11, 15, 19, 23?","A. Add 4 | B. Add 5 | C. Take away 4","Add 4","Each term is 4 more than the one before it. Hint: Work out one jump, then check the other jumps.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-020","With the shell cards, the countdown is 42, 38, 34, __. What comes next?","A. 31 | B. 30 | C. 38","30","The pattern takes away 4 each time, so 30 comes next. Hint: Check how much each number decreases.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-021","With the shell cards, which pattern adds 4 every time?","A. 11, 15, 20 | B. 11, 7, 3 | C. 11, 15, 19","11, 15, 19","Only 11, 15, 19 has the same +4 jump each time. Hint: Check both jumps in every choice.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-022","With the shell cards, a pattern starts at 12 and adds 4. Which number is the third term?","A. 20 | B. 16 | C. 24","20","The terms are 12, 16, 20. Hint: The starting number is the first term. Add 4 twice.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-023","With the shell cards, which number does not belong in 11, 15, 20, 23?","A. 15 | B. 20 | C. 23","20","20 breaks the add-4 rule. It should be 19. Hint: Predict each term using the rule.","","","",""
"AC9M2A01","Additive Patterns","practice","existing","AC9M2A01-P-024","With the shell cards, the shape pattern has 4, 6, 8 dots. It grows by the same amount. How many dots come next?","A. 9 | B. 11 | C. 10","10","The number of dots grows by 2, so 10 dots come next. Hint: Count how many new dots are added each time.","","","",""
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-025","","","","","","","","Add practice question 25 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-026","","","","","","","","Add practice question 26 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-027","","","","","","","","Add practice question 27 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-028","","","","","","","","Add practice question 28 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-029","","","","","","","","Add practice question 29 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-030","","","","","","","","Add practice question 30 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-031","","","","","","","","Add practice question 31 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-032","","","","","","","","Add practice question 32 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-033","","","","","","","","Add practice question 33 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-034","","","","","","","","Add practice question 34 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-035","","","","","","","","Add practice question 35 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-036","","","","","","","","Add practice question 36 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-037","","","","","","","","Add practice question 37 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-038","","","","","","","","Add practice question 38 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-039","","","","","","","","Add practice question 39 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-040","","","","","","","","Add practice question 40 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-041","","","","","","","","Add practice question 41 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-042","","","","","","","","Add practice question 42 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-043","","","","","","","","Add practice question 43 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-044","","","","","","","","Add practice question 44 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-045","","","","","","","","Add practice question 45 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-046","","","","","","","","Add practice question 46 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-047","","","","","","","","Add practice question 47 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","practice","placeholder","AC9M2A01-P-048","","","","","","","","Add practice question 48 of 48 for AC9M2A01."
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-001","At the block station, the block pattern is 15, 20, 25, __. What comes next?","A. 30 | B. 25 | C. 35","30","The pattern adds 5 each time, so the next number is 30. Hint: Check the jump between each pair of numbers.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-002","At the block station, what number is missing? 15, __, 25, 30.","A. 19 | B. 20 | C. 25","20","Every number increases by 5. The missing number is 20. Hint: Start at 15 and add 5.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-003","At the block station, what is the rule for 15, 20, 25, 30?","A. Add 6 | B. Take away 5 | C. Add 5","Add 5","Each term is 5 more than the one before it. Hint: Work out one jump, then check the other jumps.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-004","At the block station, the countdown is 47, 42, 37, __. What comes next?","A. 32 | B. 33 | C. 42","32","The pattern takes away 5 each time, so 32 comes next. Hint: Check how much each number decreases.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-005","At the block station, which pattern adds 5 every time?","A. 15, 20, 26 | B. 15, 20, 25 | C. 15, 10, 5","15, 20, 25","Only 15, 20, 25 has the same +5 jump each time. Hint: Check both jumps in every choice.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-006","At the block station, a pattern starts at 16 and adds 5. Which number is the third term?","A. 21 | B. 31 | C. 26","26","The terms are 16, 21, 26. Hint: The starting number is the first term. Add 5 twice.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-007","At the block station, which number does not belong in 15, 20, 26, 30?","A. 26 | B. 20 | C. 30","26","26 breaks the add-5 rule. It should be 25. Hint: Predict each term using the rule.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-008","At the block station, the shape pattern has 5, 7, 9 dots. It grows by the same amount. How many dots come next?","A. 10 | B. 11 | C. 12","11","The number of dots grows by 2, so 11 dots come next. Hint: Count how many new dots are added each time.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-009","In the flag game, the flag pattern is 19, 21, 23, __. What comes next?","A. 23 | B. 27 | C. 25","25","The pattern adds 2 each time, so the next number is 25. Hint: Check the jump between each pair of numbers.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-010","In the flag game, what number is missing? 19, __, 23, 25.","A. 21 | B. 20 | C. 23","21","Every number increases by 2. The missing number is 21. Hint: Start at 19 and add 2.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-011","In the flag game, what is the rule for 19, 21, 23, 25?","A. Add 3 | B. Add 2 | C. Take away 2","Add 2","Each term is 2 more than the one before it. Hint: Work out one jump, then check the other jumps.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-012","In the flag game, the countdown is 52, 50, 48, __. What comes next?","A. 47 | B. 50 | C. 46","46","The pattern takes away 2 each time, so 46 comes next. Hint: Check how much each number decreases.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-013","In the flag game, which pattern adds 2 every time?","A. 19, 21, 23 | B. 19, 21, 24 | C. 19, 17, 15","19, 21, 23","Only 19, 21, 23 has the same +2 jump each time. Hint: Check both jumps in every choice.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-014","In the flag game, a pattern starts at 20 and adds 2. Which number is the third term?","A. 22 | B. 24 | C. 26","24","The terms are 20, 22, 24. Hint: The starting number is the first term. Add 2 twice.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-015","In the flag game, which number does not belong in 19, 21, 24, 25?","A. 21 | B. 25 | C. 24","24","24 breaks the add-2 rule. It should be 23. Hint: Predict each term using the rule.","","","",""
"AC9M2A01","Additive Patterns","test","existing","AC9M2A01-T-016","In the flag game, the shape pattern has 6, 8, 10 dots. It grows by the same amount. How many dots come next?","A. 12 | B. 11 | C. 13","12","The number of dots grows by 2, so 12 dots come next. Hint: Count how many new dots are added each time.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-001","In the shell game, what is 4 + 5?","A. 8 | B. 9 | C. 10","9","4 and 5 make 9. Hint: Start with 4 and count on 5.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-002","In the shell game, what is 9 − 4?","A. 4 | B. 6 | C. 5","5","9 has parts 4 and 5, so 9 − 4 = 5. Hint: Think: 4 plus what makes 9?","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-003","In the shell game, which subtraction fact belongs with 4 + 5 = 9?","A. 9 − 4 = 5 | B. 9 − 5 = 5 | C. 4 − 5 = 1","9 − 4 = 5","The same whole and parts make 9 − 4 = 5. Hint: The largest number is the whole. Start subtraction with it.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-004","In the shell game, use make ten. What is 8 + 4?","A. 14 | B. 12 | C. 11","12","8 needs 2 to make 10. Add the rest to get 12. Hint: Move 2 from 4 to make 10 first.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-005","In the shell game, you know 4 + 4 = 8. What is 4 + 5?","A. 8 | B. 10 | C. 9","9","4 + 5 is one more than the double 4 + 4. Hint: Use the double, then add one.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-006","In the shell game, which fact helps you solve 9 − 5?","A. 5 + 4 = 9 | B. 5 + 9 = 14 | C. 9 + 4 = 13","5 + 4 = 9","The related addition fact is 5 + 4 = 9. Hint: Use the same two parts and whole.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-007","In the shell game, mia has 4 shells and finds 5 more. How many shells does she have now?","A. 1 | B. 9 | C. 10","9","The shells join, so 4 + 5 = 9. Hint: The word “more” tells you to join the groups.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-008","In the shell game, there are 12 birds. 5 fly away. How many birds stay?","A. 17 | B. 6 | C. 7","7","The birds leave, so 12 − 5 = 7. Hint: Start with all the birds and take away the ones that flew away.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-009","At the ten-frame table, what is 5 + 6?","A. 11 | B. 10 | C. 12","11","5 and 6 make 11. Hint: Start with 5 and count on 6.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-010","At the ten-frame table, what is 11 − 5?","A. 5 | B. 6 | C. 7","6","11 has parts 5 and 6, so 11 − 5 = 6. Hint: Think: 5 plus what makes 11?","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-011","At the ten-frame table, which subtraction fact belongs with 5 + 6 = 11?","A. 11 − 6 = 6 | B. 5 − 6 = 1 | C. 11 − 5 = 6","11 − 5 = 6","The same whole and parts make 11 − 5 = 6. Hint: The largest number is the whole. Start subtraction with it.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-012","At the ten-frame table, use make ten. What is 9 + 5?","A. 14 | B. 15 | C. 13","14","9 needs 1 to make 10. Add the rest to get 14. Hint: Move 1 from 5 to make 10 first.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-013","At the ten-frame table, you know 5 + 5 = 10. What is 5 + 6?","A. 10 | B. 11 | C. 12","11","5 + 6 is one more than the double 5 + 5. Hint: Use the double, then add one.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-014","At the ten-frame table, which fact helps you solve 11 − 6?","A. 6 + 11 = 17 | B. 11 + 5 = 16 | C. 6 + 5 = 11","6 + 5 = 11","The related addition fact is 6 + 5 = 11. Hint: Use the same two parts and whole.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-015","At the ten-frame table, mia has 5 shells and finds 6 more. How many shells does she have now?","A. 11 | B. 1 | C. 12","11","The shells join, so 5 + 6 = 11. Hint: The word “more” tells you to join the groups.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-016","At the ten-frame table, there are 14 birds. 6 fly away. How many birds stay?","A. 20 | B. 8 | C. 7","8","The birds leave, so 14 − 6 = 8. Hint: Start with all the birds and take away the ones that flew away.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-017","With the number cards, what is 6 + 7?","A. 12 | B. 14 | C. 13","13","6 and 7 make 13. Hint: Start with 6 and count on 7.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-018","With the number cards, what is 13 − 6?","A. 7 | B. 6 | C. 8","7","13 has parts 6 and 7, so 13 − 6 = 7. Hint: Think: 6 plus what makes 13?","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-019","With the number cards, which subtraction fact belongs with 6 + 7 = 13?","A. 13 − 7 = 7 | B. 13 − 6 = 7 | C. 6 − 7 = 1","13 − 6 = 7","The same whole and parts make 13 − 6 = 7. Hint: The largest number is the whole. Start subtraction with it.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-020","With the number cards, use make ten. What is 8 + 6?","A. 16 | B. 13 | C. 14","14","8 needs 2 to make 10. Add the rest to get 14. Hint: Move 2 from 6 to make 10 first.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-021","With the number cards, you know 6 + 6 = 12. What is 6 + 7?","A. 13 | B. 12 | C. 14","13","6 + 7 is one more than the double 6 + 6. Hint: Use the double, then add one.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-022","With the number cards, which fact helps you solve 13 − 7?","A. 7 + 13 = 20 | B. 7 + 6 = 13 | C. 13 + 6 = 19","7 + 6 = 13","The related addition fact is 7 + 6 = 13. Hint: Use the same two parts and whole.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-023","With the number cards, mia has 6 shells and finds 7 more. How many shells does she have now?","A. 1 | B. 14 | C. 13","13","The shells join, so 6 + 7 = 13. Hint: The word “more” tells you to join the groups.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","existing","AC9M2A02-P-024","With the number cards, there are 16 birds. 7 fly away. How many birds stay?","A. 9 | B. 23 | C. 8","9","The birds leave, so 16 − 7 = 9. Hint: Start with all the birds and take away the ones that flew away.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-025","","","","","","","","Add practice question 25 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-026","","","","","","","","Add practice question 26 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-027","","","","","","","","Add practice question 27 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-028","","","","","","","","Add practice question 28 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-029","","","","","","","","Add practice question 29 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-030","","","","","","","","Add practice question 30 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-031","","","","","","","","Add practice question 31 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-032","","","","","","","","Add practice question 32 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-033","","","","","","","","Add practice question 33 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-034","","","","","","","","Add practice question 34 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-035","","","","","","","","Add practice question 35 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-036","","","","","","","","Add practice question 36 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-037","","","","","","","","Add practice question 37 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-038","","","","","","","","Add practice question 38 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-039","","","","","","","","Add practice question 39 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-040","","","","","","","","Add practice question 40 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-041","","","","","","","","Add practice question 41 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-042","","","","","","","","Add practice question 42 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-043","","","","","","","","Add practice question 43 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-044","","","","","","","","Add practice question 44 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-045","","","","","","","","Add practice question 45 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-046","","","","","","","","Add practice question 46 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-047","","","","","","","","Add practice question 47 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","practice","placeholder","AC9M2A02-P-048","","","","","","","","Add practice question 48 of 48 for AC9M2A02."
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-001","During the bird count, what is 7 + 5?","A. 11 | B. 12 | C. 13","12","7 and 5 make 12. Hint: Start with 7 and count on 5.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-002","During the bird count, what is 12 − 7?","A. 7 | B. 6 | C. 5","5","12 has parts 7 and 5, so 12 − 7 = 5. Hint: Think: 7 plus what makes 12?","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-003","During the bird count, which subtraction fact belongs with 7 + 5 = 12?","A. 12 − 7 = 5 | B. 12 − 5 = 8 | C. 7 − 5 = 2","12 − 7 = 5","The same whole and parts make 12 − 7 = 5. Hint: The largest number is the whole. Start subtraction with it.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-004","During the bird count, use make ten. What is 9 + 7?","A. 17 | B. 16 | C. 15","16","9 needs 1 to make 10. Add the rest to get 16. Hint: Move 1 from 7 to make 10 first.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-005","During the bird count, you know 7 + 7 = 14. What is 7 + 8?","A. 14 | B. 16 | C. 15","15","7 + 8 is one more than the double 7 + 7. Hint: Use the double, then add one.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-006","During the bird count, which fact helps you solve 12 − 5?","A. 5 + 7 = 12 | B. 5 + 12 = 17 | C. 12 + 7 = 19","5 + 7 = 12","The related addition fact is 5 + 7 = 12. Hint: Use the same two parts and whole.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-007","During the bird count, mia has 7 shells and finds 5 more. How many shells does she have now?","A. 2 | B. 12 | C. 13","12","The shells join, so 7 + 5 = 12. Hint: The word “more” tells you to join the groups.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-008","During the bird count, there are 15 birds. 5 fly away. How many birds stay?","A. 20 | B. 9 | C. 10","10","The birds leave, so 15 − 5 = 10. Hint: Start with all the birds and take away the ones that flew away.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-009","At the sticker station, what is 8 + 6?","A. 14 | B. 13 | C. 15","14","8 and 6 make 14. Hint: Start with 8 and count on 6.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-010","At the sticker station, what is 14 − 8?","A. 8 | B. 6 | C. 7","6","14 has parts 8 and 6, so 14 − 8 = 6. Hint: Think: 8 plus what makes 14?","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-011","At the sticker station, which subtraction fact belongs with 8 + 6 = 14?","A. 14 − 6 = 9 | B. 8 − 6 = 2 | C. 14 − 8 = 6","14 − 8 = 6","The same whole and parts make 14 − 8 = 6. Hint: The largest number is the whole. Start subtraction with it.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-012","At the sticker station, use make ten. What is 8 + 8?","A. 16 | B. 18 | C. 15","16","8 needs 2 to make 10. Add the rest to get 16. Hint: Move 2 from 8 to make 10 first.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-013","At the sticker station, you know 8 + 8 = 16. What is 8 + 9?","A. 16 | B. 17 | C. 18","17","8 + 9 is one more than the double 8 + 8. Hint: Use the double, then add one.","","","",""
"AC9M2A02","Addition Facts to 20 and Related Subtraction","test","existing","AC9M2A02-T-014","At the sticker station, which fact helps you solve 14 − 6?","A. 6 + 14 = 20 | B. 14 + 8 = 22 | C. 6 + 8 = 14","6 + 8 = 14","The related addition fact is 6 + 8 = 14. Hint: Use the same two parts and whole.","","","",""
