A snail moved from a stone to a leaf. Which caption tells what happened?|The snail moved onto the leaf.|The snail stayed on the stone.|The snail moved under the stone.|A caption should describe the movement that was observed.
A child wants to suggest a cover for a toy. Water passed through cloth but not through plastic in their test. Which sentence links the idea to evidence?|Try plastic because it kept water out in our test.|Try cloth because water passed through it.|Try plastic because we did not test it.|The reason should explain how the observed result supports the suggested cover.
Read the notes from two days. A draft says: We saw more birds on Tuesday. Which correction matches the notes?|We saw more birds on Monday.|We saw the same number on both days.|We saw no birds on Tuesday.|The record shows five on Monday and two on Tuesday, so the comparison must be reversed.
One boat held four counters before sinking. A second boat was not tested. Which ending stays within the evidence?|Our tested boat held four counters before sinking.|Our tested boat held more than the second boat.|Every paper boat holds exactly four counters.|Only one boat was tested, so a comparison or claim about every boat is not supported.
A group found a smooth stone and a rough stone. Which report keeps the difference clear?|One stone felt smooth and the other felt rough.|Both stones felt smooth when we touched them.|The stones felt different but we cannot say how.|Naming each texture communicates the observed difference precisely.
A child writes: My prediction was right. They predicted the seedling would have three leaves, but counted five. Which revision is accurate?|I predicted three leaves, but counted five.|I predicted three leaves and counted three.|I counted five, so my prediction was five.|Keep the original prediction separate from the actual finding.
A beetle crawls beneath a fallen branch. Which sentence describes its new position?|The beetle is under the branch.|The beetle is above the branch.|The beetle is inside a leaf.|Use a position word that matches where the beetle moved.
A child presses dough and it becomes flatter. Complete the report: Pressing changed the dough's ___.|shape|colour|material|Flatter describes a change in shape; there is no evidence of a colour or material change.
Read the puddle record. Which caption describes both observations?|The puddle was smaller after lunch.|The puddle was larger after lunch.|The puddle was gone before lunch.|The record shows a change in size, not complete disappearance.
A child writes: The bark is nice. Which replacement communicates the texture they felt?|The bark feels rough.|I like the bark very much.|The bark looks lovely.|Rough describes an observed texture; liking something is an opinion.
A drawing shows a bean's root pointing down into soil. Which caption matches it?|The root grows down into the soil.|The leaf grows down into the soil.|The root grows up above the soil.|The caption must name both the correct plant part and its direction.
A child records a stick as seven cubes long. Which label preserves the complete measurement?|Length: seven cubes.|Length: seven sticks.|Length: seven.|The unit must be the cubes used to measure, not the object measured.
A class sees dry ground on arrival and wet ground after a shower. Which report gives the correct sequence?|The ground was dry, then it became wet.|The ground was wet, then it became dry.|The ground was wet at both times.|The order of the description should match the order of observations.
A child writes: It was cooler there. They compared water in shade with water in sunlight. Which revision names the comparison?|Water in shade was cooler than water in sunlight.|Water was cooler in one of the two places.|Something in shade was cooler than something else.|Name what was compared and both locations to make the finding clear.
Read the car test record. Which sentence belongs in the results?|The car went farther after the stronger push.|The car went farther after the gentle push.|The car travelled the same distance both times.|The record links the stronger push to the longer travel in this test.
A child counted four worms in one soil tray. Which report avoids claiming more than they observed?|We counted four worms in this tray.|Every soil tray has four worms.|There are only four worms in the school.|The observation supports a claim about this tray, not all trays or the school.
A draft says: The leaf became brown. Photos show it was green on Monday and yellow on Friday. Which revision matches both photos?|The leaf changed from green to yellow.|The leaf changed from yellow to green.|The leaf changed from green to brown.|Use the observed colours in the correct time order.
A group suggests a resting place for a toy animal that must stay dry. Their roof kept the space below dry during a water test. Which sentence explains their choice?|Use our roof because the space below stayed dry in the test.|Use our roof because the space below became wet in the test.|Use our roof because no water test was needed.|An explanation should connect the suggested design with the result actually observed.
Read the insect notes. Which finding compares the two places accurately?|We found more insects beside the log than beside the path.|We found more insects beside the path than beside the log.|We found insects beside the log but none beside the path.|Six is more than three, but both places had insects.
A child sees holes in a leaf but does not see what made them. Which caption separates observation from an idea?|I saw holes. An animal may have made them.|I watched an animal make all the holes.|I saw holes, so a snail certainly made them.|The holes are observed; an animal making them is a possible explanation, not an observed fact.
A class predicted towel A would soak up more water. Towel B soaked up more. Which report keeps both facts?|We expected A to soak up more, but B did.|We expected B to soak up more, and B did.|We expected A to soak up more, and A did.|A report should preserve the original prediction and the different result.
A poster says: All seeds grew. The record shows three seeds grew and one did not. Which ending should replace it?|Three seeds grew; one did not.|Four seeds grew; none failed.|One seed grew; three did not.|The ending should include both the seeds that grew and the seed that did not.
